i,A,B,gcd,modulus operations
2316,987,1597,1,16
2317,987,1597,1,16
2318,987,1597,1,16
2319,987,1597,1,16
2320,987,1597,1,16
2321,987,1597,1,16
2322,987,1597,1,16
2323,987,1597,1,16
2324,987,1597,1,16
2325,987,1597,1,16
2326,987,1597,1,16
2327,987,1597,1,16
2328,987,1597,1,16
2329,987,1597,1,16
2330,987,1597,1,16
2331,987,1597,1,16
2332,987,1597,1,16
2333,987,1597,1,16
2334,987,1597,1,16
2335,987,1597,1,16
2336,987,1597,1,16
2337,987,1597,1,16
2338,987,1597,1,16
2339,987,1597,1,16
2340,987,1597,1,16
2341,987,1597,1,16
2342,987,1597,1,16
2343,987,1597,1,16
2344,987,1597,1,16
2345,987,1597,1,16
2346,987,1597,1,16
2347,987,1597,1,16
2348,987,1597,1,16
2349,987,1597,1,16
2350,987,1597,1,16
2351,987,1597,1,16
2352,987,1597,1,16
2353,987,1597,1,16
2354,987,1597,1,16
2355,987,1597,1,16
2356,987,1597,1,16
2357,987,1597,1,16
2358,987,1597,1,16
2359,987,1597,1,16
2360,987,1597,1,16
2361,987,1597,1,16
2362,987,1597,1,16
2363,987,1597,1,16
2364,987,1597,1,16
2365,987,1597,1,16
2366,987,1597,1,16
2367,987,1597,1,16
2368,987,1597,1,16
2369,987,1597,1,16
2370,987,1597,1,16
2371,987,1597,1,16
2372,987,1597,1,16
2373,987,1597,1,16
2374,987,1597,1,16
2375,987,1597,1,16
2376,987,1597,1,16
2377,987,1597,1,16
2378,987,1597,1,16
2379,987,1597,1,16
2380,987,1597,1,16
2381,987,1597,1,16
2382,987,1597,1,16
2383,987,1597,1,16
2384,987,1597,1,16
2385,987,1597,1,16
2386,987,1597,1,16
2387,987,1597,1,16
2388,987,1597,1,16
2389,987,1597,1,16
2390,987,1597,1,16
2391,987,1597,1,16
2392,987,1597,1,16
2393,987,1597,1,16
2394,987,1597,1,16
2395,987,1597,1,16
2396,987,1597,1,16
2397,987,1597,1,16
2398,987,1597,1,16
2399,987,1597,1,16
2400,987,1597,1,16
2401,987,1597,1,16
2402,987,1597,1,16
2403,987,1597,1,16
2404,987,1597,1,16
2405,987,1597,1,16
2406,987,1597,1,16
2407,987,1597,1,16
2408,987,1597,1,16
2409,987,1597,1,16
2410,987,1597,1,16
2411,987,1597,1,16
2412,987,1597,1,16
2413,987,1597,1,16
2414,987,1597,1,16
2415,987,1597,1,16


