i,A,B,gcd,modulus operations
1216,610,987,1,15
1217,610,987,1,15
1218,610,987,1,15
1219,610,987,1,15
1220,610,987,1,15
1221,610,987,1,15
1222,610,987,1,15
1223,610,987,1,15
1224,610,987,1,15
1225,610,987,1,15
1226,610,987,1,15
1227,610,987,1,15
1228,610,987,1,15
1229,610,987,1,15
1230,610,987,1,15
1231,610,987,1,15
1232,610,987,1,15
1233,610,987,1,15
1234,610,987,1,15
1235,610,987,1,15
1236,610,987,1,15
1237,610,987,1,15
1238,610,987,1,15
1239,610,987,1,15
1240,610,987,1,15
1241,610,987,1,15
1242,610,987,1,15
1243,610,987,1,15
1244,610,987,1,15
1245,610,987,1,15
1246,610,987,1,15
1247,610,987,1,15
1248,610,987,1,15
1249,610,987,1,15
1250,610,987,1,15
1251,610,987,1,15
1252,610,987,1,15
1253,610,987,1,15
1254,610,987,1,15
1255,610,987,1,15
1256,610,987,1,15
1257,610,987,1,15
1258,610,987,1,15
1259,610,987,1,15
1260,610,987,1,15
1261,610,987,1,15
1262,610,987,1,15
1263,610,987,1,15
1264,610,987,1,15
1265,610,987,1,15
1266,610,987,1,15
1267,610,987,1,15
1268,610,987,1,15
1269,610,987,1,15
1270,610,987,1,15
1271,610,987,1,15
1272,610,987,1,15
1273,610,987,1,15
1274,610,987,1,15
1275,610,987,1,15
1276,610,987,1,15
1277,610,987,1,15
1278,610,987,1,15
1279,610,987,1,15
1280,610,987,1,15
1281,610,987,1,15
1282,610,987,1,15
1283,610,987,1,15
1284,610,987,1,15
1285,610,987,1,15
1286,610,987,1,15
1287,610,987,1,15
1288,610,987,1,15
1289,610,987,1,15
1290,610,987,1,15
1291,610,987,1,15
1292,610,987,1,15
1293,610,987,1,15
1294,610,987,1,15
1295,610,987,1,15
1296,610,987,1,15
1297,610,987,1,15
1298,610,987,1,15
1299,610,987,1,15
1300,610,987,1,15
1301,610,987,1,15
1302,610,987,1,15
1303,610,987,1,15
1304,610,987,1,15
1305,610,987,1,15
1306,610,987,1,15
1307,610,987,1,15
1308,610,987,1,15
1309,610,987,1,15
1310,610,987,1,15
1311,610,987,1,15
1312,610,987,1,15
1313,610,987,1,15
1314,610,987,1,15
1315,610,987,1,15


