i,A,B,gcd,modulus operations
2716,1597,2584,1,17
2717,1597,2584,1,17
2718,1597,2584,1,17
2719,1597,2584,1,17
2720,1597,2584,1,17
2721,1597,2584,1,17
2722,1597,2584,1,17
2723,1597,2584,1,17
2724,1597,2584,1,17
2725,1597,2584,1,17
2726,1597,2584,1,17
2727,1597,2584,1,17
2728,1597,2584,1,17
2729,1597,2584,1,17
2730,1597,2584,1,17
2731,1597,2584,1,17
2732,1597,2584,1,17
2733,1597,2584,1,17
2734,1597,2584,1,17
2735,1597,2584,1,17
2736,1597,2584,1,17
2737,1597,2584,1,17
2738,1597,2584,1,17
2739,1597,2584,1,17
2740,1597,2584,1,17
2741,1597,2584,1,17
2742,1597,2584,1,17
2743,1597,2584,1,17
2744,1597,2584,1,17
2745,1597,2584,1,17
2746,1597,2584,1,17
2747,1597,2584,1,17
2748,1597,2584,1,17
2749,1597,2584,1,17
2750,1597,2584,1,17
2751,1597,2584,1,17
2752,1597,2584,1,17
2753,1597,2584,1,17
2754,1597,2584,1,17
2755,1597,2584,1,17
2756,1597,2584,1,17
2757,1597,2584,1,17
2758,1597,2584,1,17
2759,1597,2584,1,17
2760,1597,2584,1,17
2761,1597,2584,1,17
2762,1597,2584,1,17
2763,1597,2584,1,17
2764,1597,2584,1,17
2765,1597,2584,1,17
2766,1597,2584,1,17
2767,1597,2584,1,17
2768,1597,2584,1,17
2769,1597,2584,1,17
2770,1597,2584,1,17
2771,1597,2584,1,17
2772,1597,2584,1,17
2773,1597,2584,1,17
2774,1597,2584,1,17
2775,1597,2584,1,17
2776,1597,2584,1,17
2777,1597,2584,1,17
2778,1597,2584,1,17
2779,1597,2584,1,17
2780,1597,2584,1,17
2781,1597,2584,1,17
2782,1597,2584,1,17
2783,1597,2584,1,17
2784,1597,2584,1,17
2785,1597,2584,1,17
2786,1597,2584,1,17
2787,1597,2584,1,17
2788,1597,2584,1,17
2789,1597,2584,1,17
2790,1597,2584,1,17
2791,1597,2584,1,17
2792,1597,2584,1,17
2793,1597,2584,1,17
2794,1597,2584,1,17
2795,1597,2584,1,17
2796,1597,2584,1,17
2797,1597,2584,1,17
2798,1597,2584,1,17
2799,1597,2584,1,17
2800,1597,2584,1,17
2801,1597,2584,1,17
2802,1597,2584,1,17
2803,1597,2584,1,17
2804,1597,2584,1,17
2805,1597,2584,1,17
2806,1597,2584,1,17
2807,1597,2584,1,17
2808,1597,2584,1,17
2809,1597,2584,1,17
2810,1597,2584,1,17
2811,1597,2584,1,17
2812,1597,2584,1,17
2813,1597,2584,1,17
2814,1597,2584,1,17
2815,1597,2584,1,17


