i,A,B,gcd,modulus operations
16,8,13,1,5
17,8,13,1,5
18,8,13,1,5
19,8,13,1,5
20,8,13,1,5
21,13,21,1,6
22,13,21,1,6
23,13,21,1,6
24,13,21,1,6
25,13,21,1,6
26,13,21,1,6
27,13,21,1,6
28,13,21,1,6
29,13,21,1,6
30,13,21,1,6
31,13,21,1,6
32,13,21,1,6
33,13,21,1,6
34,21,34,1,7
35,21,34,1,7
36,21,34,1,7
37,21,34,1,7
38,21,34,1,7
39,21,34,1,7
40,21,34,1,7
41,21,34,1,7
42,21,34,1,7
43,21,34,1,7
44,21,34,1,7
45,21,34,1,7
46,21,34,1,7
47,21,34,1,7
48,21,34,1,7
49,21,34,1,7
50,21,34,1,7
51,21,34,1,7
52,21,34,1,7
53,21,34,1,7
54,21,34,1,7
55,34,55,1,8
56,34,55,1,8
57,34,55,1,8
58,34,55,1,8
59,34,55,1,8
60,34,55,1,8
61,34,55,1,8
62,34,55,1,8
63,34,55,1,8
64,34,55,1,8
65,34,55,1,8
66,34,55,1,8
67,34,55,1,8
68,34,55,1,8
69,34,55,1,8
70,34,55,1,8
71,34,55,1,8
72,34,55,1,8
73,34,55,1,8
74,34,55,1,8
75,34,55,1,8
76,34,55,1,8
77,34,55,1,8
78,34,55,1,8
79,34,55,1,8
80,34,55,1,8
81,34,55,1,8
82,34,55,1,8
83,34,55,1,8
84,34,55,1,8
85,34,55,1,8
86,34,55,1,8
87,34,55,1,8
88,34,55,1,8
89,55,89,1,9
90,55,89,1,9
91,55,89,1,9
92,55,89,1,9
93,55,89,1,9
94,55,89,1,9
95,55,89,1,9
96,55,89,1,9
97,55,89,1,9
98,55,89,1,9
99,55,89,1,9
100,55,89,1,9
101,55,89,1,9
102,55,89,1,9
103,55,89,1,9
104,55,89,1,9
105,55,89,1,9
106,55,89,1,9
107,55,89,1,9
108,55,89,1,9
109,55,89,1,9
110,55,89,1,9
111,55,89,1,9
112,55,89,1,9
113,55,89,1,9
114,55,89,1,9
115,55,89,1,9


