i,A,B,gcd,modulus operations
1916,987,1597,1,15
1917,987,1597,1,15
1918,987,1597,1,15
1919,987,1597,1,15
1920,987,1597,1,15
1921,987,1597,1,15
1922,987,1597,1,15
1923,987,1597,1,15
1924,987,1597,1,15
1925,987,1597,1,15
1926,987,1597,1,15
1927,987,1597,1,15
1928,987,1597,1,15
1929,987,1597,1,15
1930,987,1597,1,15
1931,987,1597,1,15
1932,987,1597,1,15
1933,987,1597,1,15
1934,987,1597,1,15
1935,987,1597,1,15
1936,987,1597,1,15
1937,987,1597,1,15
1938,987,1597,1,15
1939,987,1597,1,15
1940,987,1597,1,15
1941,987,1597,1,15
1942,987,1597,1,15
1943,987,1597,1,15
1944,987,1597,1,15
1945,987,1597,1,15
1946,987,1597,1,15
1947,987,1597,1,15
1948,987,1597,1,15
1949,987,1597,1,15
1950,987,1597,1,15
1951,987,1597,1,15
1952,987,1597,1,15
1953,987,1597,1,15
1954,987,1597,1,15
1955,987,1597,1,15
1956,987,1597,1,15
1957,987,1597,1,15
1958,987,1597,1,15
1959,987,1597,1,15
1960,987,1597,1,15
1961,987,1597,1,15
1962,987,1597,1,15
1963,987,1597,1,15
1964,987,1597,1,15
1965,987,1597,1,15
1966,987,1597,1,15
1967,987,1597,1,15
1968,987,1597,1,15
1969,987,1597,1,15
1970,987,1597,1,15
1971,987,1597,1,15
1972,987,1597,1,15
1973,987,1597,1,15
1974,987,1597,1,15
1975,987,1597,1,15
1976,987,1597,1,15
1977,987,1597,1,15
1978,987,1597,1,15
1979,987,1597,1,15
1980,987,1597,1,15
1981,987,1597,1,15
1982,987,1597,1,15
1983,987,1597,1,15
1984,987,1597,1,15
1985,987,1597,1,15
1986,987,1597,1,15
1987,987,1597,1,15
1988,987,1597,1,15
1989,987,1597,1,15
1990,987,1597,1,15
1991,987,1597,1,15
1992,987,1597,1,15
1993,987,1597,1,15
1994,987,1597,1,15
1995,987,1597,1,15
1996,987,1597,1,15
1997,987,1597,1,15
1998,987,1597,1,15
1999,987,1597,1,15
2000,987,1597,1,15
2001,987,1597,1,15
2002,987,1597,1,15
2003,987,1597,1,15
2004,987,1597,1,15
2005,987,1597,1,15
2006,987,1597,1,15
2007,987,1597,1,15
2008,987,1597,1,15
2009,987,1597,1,15
2010,987,1597,1,15
2011,987,1597,1,15
2012,987,1597,1,15
2013,987,1597,1,15
2014,987,1597,1,15
2015,987,1597,1,15


