i,A,B,gcd,modulus operations
1516,610,987,1,15
1517,610,987,1,15
1518,610,987,1,15
1519,610,987,1,15
1520,610,987,1,15
1521,610,987,1,15
1522,610,987,1,15
1523,610,987,1,15
1524,610,987,1,15
1525,610,987,1,15
1526,610,987,1,15
1527,610,987,1,15
1528,610,987,1,15
1529,610,987,1,15
1530,610,987,1,15
1531,610,987,1,15
1532,610,987,1,15
1533,610,987,1,15
1534,610,987,1,15
1535,610,987,1,15
1536,610,987,1,15
1537,610,987,1,15
1538,610,987,1,15
1539,610,987,1,15
1540,610,987,1,15
1541,610,987,1,15
1542,610,987,1,15
1543,610,987,1,15
1544,610,987,1,15
1545,610,987,1,15
1546,610,987,1,15
1547,610,987,1,15
1548,610,987,1,15
1549,610,987,1,15
1550,610,987,1,15
1551,610,987,1,15
1552,610,987,1,15
1553,610,987,1,15
1554,610,987,1,15
1555,610,987,1,15
1556,610,987,1,15
1557,610,987,1,15
1558,610,987,1,15
1559,610,987,1,15
1560,610,987,1,15
1561,610,987,1,15
1562,610,987,1,15
1563,610,987,1,15
1564,610,987,1,15
1565,610,987,1,15
1566,610,987,1,15
1567,610,987,1,15
1568,610,987,1,15
1569,610,987,1,15
1570,610,987,1,15
1571,610,987,1,15
1572,610,987,1,15
1573,610,987,1,15
1574,610,987,1,15
1575,610,987,1,15
1576,610,987,1,15
1577,610,987,1,15
1578,610,987,1,15
1579,610,987,1,15
1580,610,987,1,15
1581,610,987,1,15
1582,610,987,1,15
1583,610,987,1,15
1584,610,987,1,15
1585,610,987,1,15
1586,610,987,1,15
1587,610,987,1,15
1588,610,987,1,15
1589,610,987,1,15
1590,610,987,1,15
1591,610,987,1,15
1592,610,987,1,15
1593,610,987,1,15
1594,610,987,1,15
1595,610,987,1,15
1596,610,987,1,15
1597,987,1597,1,16
1598,987,1597,1,16
1599,987,1597,1,16
1600,987,1597,1,16
1601,987,1597,1,16
1602,987,1597,1,16
1603,987,1597,1,16
1604,987,1597,1,16
1605,987,1597,1,16
1606,987,1597,1,16
1607,987,1597,1,16
1608,987,1597,1,16
1609,987,1597,1,16
1610,987,1597,1,16
1611,987,1597,1,16
1612,987,1597,1,16
1613,987,1597,1,16
1614,987,1597,1,16
1615,987,1597,1,16


