i,A,B,gcd,modulus operations
2116,987,1597,1,16
2117,987,1597,1,16
2118,987,1597,1,16
2119,987,1597,1,16
2120,987,1597,1,16
2121,987,1597,1,16
2122,987,1597,1,16
2123,987,1597,1,16
2124,987,1597,1,16
2125,987,1597,1,16
2126,987,1597,1,16
2127,987,1597,1,16
2128,987,1597,1,16
2129,987,1597,1,16
2130,987,1597,1,16
2131,987,1597,1,16
2132,987,1597,1,16
2133,987,1597,1,16
2134,987,1597,1,16
2135,987,1597,1,16
2136,987,1597,1,16
2137,987,1597,1,16
2138,987,1597,1,16
2139,987,1597,1,16
2140,987,1597,1,16
2141,987,1597,1,16
2142,987,1597,1,16
2143,987,1597,1,16
2144,987,1597,1,16
2145,987,1597,1,16
2146,987,1597,1,16
2147,987,1597,1,16
2148,987,1597,1,16
2149,987,1597,1,16
2150,987,1597,1,16
2151,987,1597,1,16
2152,987,1597,1,16
2153,987,1597,1,16
2154,987,1597,1,16
2155,987,1597,1,16
2156,987,1597,1,16
2157,987,1597,1,16
2158,987,1597,1,16
2159,987,1597,1,16
2160,987,1597,1,16
2161,987,1597,1,16
2162,987,1597,1,16
2163,987,1597,1,16
2164,987,1597,1,16
2165,987,1597,1,16
2166,987,1597,1,16
2167,987,1597,1,16
2168,987,1597,1,16
2169,987,1597,1,16
2170,987,1597,1,16
2171,987,1597,1,16
2172,987,1597,1,16
2173,987,1597,1,16
2174,987,1597,1,16
2175,987,1597,1,16
2176,987,1597,1,16
2177,987,1597,1,16
2178,987,1597,1,16
2179,987,1597,1,16
2180,987,1597,1,16
2181,987,1597,1,16
2182,987,1597,1,16
2183,987,1597,1,16
2184,987,1597,1,16
2185,987,1597,1,16
2186,987,1597,1,16
2187,987,1597,1,16
2188,987,1597,1,16
2189,987,1597,1,16
2190,987,1597,1,16
2191,987,1597,1,16
2192,987,1597,1,16
2193,987,1597,1,16
2194,987,1597,1,16
2195,987,1597,1,16
2196,987,1597,1,16
2197,987,1597,1,16
2198,987,1597,1,16
2199,987,1597,1,16
2200,987,1597,1,16
2201,987,1597,1,16
2202,987,1597,1,16
2203,987,1597,1,16
2204,987,1597,1,16
2205,987,1597,1,16
2206,987,1597,1,16
2207,987,1597,1,16
2208,987,1597,1,16
2209,987,1597,1,16
2210,987,1597,1,16
2211,987,1597,1,16
2212,987,1597,1,16
2213,987,1597,1,16
2214,987,1597,1,16
2215,987,1597,1,16


