i,A,B,gcd,modulus operations
2616,1597,2584,1,17
2617,1597,2584,1,17
2618,1597,2584,1,17
2619,1597,2584,1,17
2620,1597,2584,1,17
2621,1597,2584,1,17
2622,1597,2584,1,17
2623,1597,2584,1,17
2624,1597,2584,1,17
2625,1597,2584,1,17
2626,1597,2584,1,17
2627,1597,2584,1,17
2628,1597,2584,1,17
2629,1597,2584,1,17
2630,1597,2584,1,17
2631,1597,2584,1,17
2632,1597,2584,1,17
2633,1597,2584,1,17
2634,1597,2584,1,17
2635,1597,2584,1,17
2636,1597,2584,1,17
2637,1597,2584,1,17
2638,1597,2584,1,17
2639,1597,2584,1,17
2640,1597,2584,1,17
2641,1597,2584,1,17
2642,1597,2584,1,17
2643,1597,2584,1,17
2644,1597,2584,1,17
2645,1597,2584,1,17
2646,1597,2584,1,17
2647,1597,2584,1,17
2648,1597,2584,1,17
2649,1597,2584,1,17
2650,1597,2584,1,17
2651,1597,2584,1,17
2652,1597,2584,1,17
2653,1597,2584,1,17
2654,1597,2584,1,17
2655,1597,2584,1,17
2656,1597,2584,1,17
2657,1597,2584,1,17
2658,1597,2584,1,17
2659,1597,2584,1,17
2660,1597,2584,1,17
2661,1597,2584,1,17
2662,1597,2584,1,17
2663,1597,2584,1,17
2664,1597,2584,1,17
2665,1597,2584,1,17
2666,1597,2584,1,17
2667,1597,2584,1,17
2668,1597,2584,1,17
2669,1597,2584,1,17
2670,1597,2584,1,17
2671,1597,2584,1,17
2672,1597,2584,1,17
2673,1597,2584,1,17
2674,1597,2584,1,17
2675,1597,2584,1,17
2676,1597,2584,1,17
2677,1597,2584,1,17
2678,1597,2584,1,17
2679,1597,2584,1,17
2680,1597,2584,1,17
2681,1597,2584,1,17
2682,1597,2584,1,17
2683,1597,2584,1,17
2684,1597,2584,1,17
2685,1597,2584,1,17
2686,1597,2584,1,17
2687,1597,2584,1,17
2688,1597,2584,1,17
2689,1597,2584,1,17
2690,1597,2584,1,17
2691,1597,2584,1,17
2692,1597,2584,1,17
2693,1597,2584,1,17
2694,1597,2584,1,17
2695,1597,2584,1,17
2696,1597,2584,1,17
2697,1597,2584,1,17
2698,1597,2584,1,17
2699,1597,2584,1,17
2700,1597,2584,1,17
2701,1597,2584,1,17
2702,1597,2584,1,17
2703,1597,2584,1,17
2704,1597,2584,1,17
2705,1597,2584,1,17
2706,1597,2584,1,17
2707,1597,2584,1,17
2708,1597,2584,1,17
2709,1597,2584,1,17
2710,1597,2584,1,17
2711,1597,2584,1,17
2712,1597,2584,1,17
2713,1597,2584,1,17
2714,1597,2584,1,17
2715,1597,2584,1,17


