i,A,B,gcd,modulus operations
116,55,89,1,10
117,55,89,1,10
118,55,89,1,10
119,55,89,1,10
120,55,89,1,10
121,55,89,1,10
122,55,89,1,10
123,55,89,1,10
124,55,89,1,10
125,55,89,1,10
126,55,89,1,10
127,55,89,1,10
128,55,89,1,10
129,55,89,1,10
130,55,89,1,10
131,55,89,1,10
132,55,89,1,10
133,55,89,1,10
134,55,89,1,10
135,55,89,1,10
136,55,89,1,10
137,55,89,1,10
138,55,89,1,10
139,55,89,1,10
140,55,89,1,10
141,55,89,1,10
142,55,89,1,10
143,55,89,1,10
144,89,144,1,11
145,89,144,1,11
146,89,144,1,11
147,89,144,1,11
148,89,144,1,11
149,89,144,1,11
150,89,144,1,11
151,89,144,1,11
152,89,144,1,11
153,89,144,1,11
154,89,144,1,11
155,89,144,1,11
156,89,144,1,11
157,89,144,1,11
158,89,144,1,11
159,89,144,1,11
160,89,144,1,11
161,89,144,1,11
162,89,144,1,11
163,89,144,1,11
164,89,144,1,11
165,89,144,1,11
166,89,144,1,11
167,89,144,1,11
168,89,144,1,11
169,89,144,1,11
170,89,144,1,11
171,89,144,1,11
172,89,144,1,11
173,89,144,1,11
174,89,144,1,11
175,89,144,1,11
176,89,144,1,11
177,89,144,1,11
178,89,144,1,11
179,89,144,1,11
180,89,144,1,11
181,89,144,1,11
182,89,144,1,11
183,89,144,1,11
184,89,144,1,11
185,89,144,1,11
186,89,144,1,11
187,89,144,1,11
188,89,144,1,11
189,89,144,1,11
190,89,144,1,11
191,89,144,1,11
192,89,144,1,11
193,89,144,1,11
194,89,144,1,11
195,89,144,1,11
196,89,144,1,11
197,89,144,1,11
198,89,144,1,11
199,89,144,1,11
200,89,144,1,11
201,89,144,1,11
202,89,144,1,11
203,89,144,1,11
204,89,144,1,11
205,89,144,1,11
206,89,144,1,11
207,89,144,1,11
208,89,144,1,11
209,89,144,1,11
210,89,144,1,11
211,89,144,1,11
212,89,144,1,11
213,89,144,1,11
214,89,144,1,11
215,89,144,1,11


