i,A,B,gcd,modulus operations
1416,610,987,1,15
1417,610,987,1,15
1418,610,987,1,15
1419,610,987,1,15
1420,610,987,1,15
1421,610,987,1,15
1422,610,987,1,15
1423,610,987,1,15
1424,610,987,1,15
1425,610,987,1,15
1426,610,987,1,15
1427,610,987,1,15
1428,610,987,1,15
1429,610,987,1,15
1430,610,987,1,15
1431,610,987,1,15
1432,610,987,1,15
1433,610,987,1,15
1434,610,987,1,15
1435,610,987,1,15
1436,610,987,1,15
1437,610,987,1,15
1438,610,987,1,15
1439,610,987,1,15
1440,610,987,1,15
1441,610,987,1,15
1442,610,987,1,15
1443,610,987,1,15
1444,610,987,1,15
1445,610,987,1,15
1446,610,987,1,15
1447,610,987,1,15
1448,610,987,1,15
1449,610,987,1,15
1450,610,987,1,15
1451,610,987,1,15
1452,610,987,1,15
1453,610,987,1,15
1454,610,987,1,15
1455,610,987,1,15
1456,610,987,1,15
1457,610,987,1,15
1458,610,987,1,15
1459,610,987,1,15
1460,610,987,1,15
1461,610,987,1,15
1462,610,987,1,15
1463,610,987,1,15
1464,610,987,1,15
1465,610,987,1,15
1466,610,987,1,15
1467,610,987,1,15
1468,610,987,1,15
1469,610,987,1,15
1470,610,987,1,15
1471,610,987,1,15
1472,610,987,1,15
1473,610,987,1,15
1474,610,987,1,15
1475,610,987,1,15
1476,610,987,1,15
1477,610,987,1,15
1478,610,987,1,15
1479,610,987,1,15
1480,610,987,1,15
1481,610,987,1,15
1482,610,987,1,15
1483,610,987,1,15
1484,610,987,1,15
1485,610,987,1,15
1486,610,987,1,15
1487,610,987,1,15
1488,610,987,1,15
1489,610,987,1,15
1490,610,987,1,15
1491,610,987,1,15
1492,610,987,1,15
1493,610,987,1,15
1494,610,987,1,15
1495,610,987,1,15
1496,610,987,1,15
1497,610,987,1,15
1498,610,987,1,15
1499,610,987,1,15
1500,610,987,1,15
1501,610,987,1,15
1502,610,987,1,15
1503,610,987,1,15
1504,610,987,1,15
1505,610,987,1,15
1506,610,987,1,15
1507,610,987,1,15
1508,610,987,1,15
1509,610,987,1,15
1510,610,987,1,15
1511,610,987,1,15
1512,610,987,1,15
1513,610,987,1,15
1514,610,987,1,15
1515,610,987,1,15


