i,A,B,gcd,modulus operations
2416,987,1597,1,15
2417,987,1597,1,15
2418,987,1597,1,15
2419,987,1597,1,15
2420,987,1597,1,15
2421,987,1597,1,15
2422,987,1597,1,15
2423,987,1597,1,15
2424,987,1597,1,15
2425,987,1597,1,15
2426,987,1597,1,15
2427,987,1597,1,15
2428,987,1597,1,15
2429,987,1597,1,15
2430,987,1597,1,15
2431,987,1597,1,15
2432,987,1597,1,15
2433,987,1597,1,15
2434,987,1597,1,15
2435,987,1597,1,15
2436,987,1597,1,15
2437,987,1597,1,15
2438,987,1597,1,15
2439,987,1597,1,15
2440,987,1597,1,15
2441,987,1597,1,15
2442,987,1597,1,15
2443,987,1597,1,15
2444,987,1597,1,15
2445,987,1597,1,15
2446,987,1597,1,15
2447,987,1597,1,15
2448,987,1597,1,15
2449,987,1597,1,15
2450,987,1597,1,15
2451,987,1597,1,15
2452,987,1597,1,15
2453,987,1597,1,15
2454,987,1597,1,15
2455,987,1597,1,15
2456,987,1597,1,15
2457,987,1597,1,15
2458,987,1597,1,15
2459,987,1597,1,15
2460,987,1597,1,15
2461,987,1597,1,15
2462,987,1597,1,15
2463,987,1597,1,15
2464,987,1597,1,15
2465,987,1597,1,15
2466,987,1597,1,15
2467,987,1597,1,15
2468,987,1597,1,15
2469,987,1597,1,15
2470,987,1597,1,15
2471,987,1597,1,15
2472,987,1597,1,15
2473,987,1597,1,15
2474,987,1597,1,15
2475,987,1597,1,15
2476,987,1597,1,15
2477,987,1597,1,15
2478,987,1597,1,15
2479,987,1597,1,15
2480,987,1597,1,15
2481,987,1597,1,15
2482,987,1597,1,15
2483,987,1597,1,15
2484,987,1597,1,15
2485,987,1597,1,15
2486,987,1597,1,15
2487,987,1597,1,15
2488,987,1597,1,15
2489,987,1597,1,15
2490,987,1597,1,15
2491,987,1597,1,15
2492,987,1597,1,15
2493,987,1597,1,15
2494,987,1597,1,15
2495,987,1597,1,15
2496,987,1597,1,15
2497,987,1597,1,15
2498,987,1597,1,15
2499,987,1597,1,15
2500,987,1597,1,15
2501,987,1597,1,15
2502,987,1597,1,15
2503,987,1597,1,15
2504,987,1597,1,15
2505,987,1597,1,15
2506,987,1597,1,15
2507,987,1597,1,15
2508,987,1597,1,15
2509,987,1597,1,15
2510,987,1597,1,15
2511,987,1597,1,15
2512,987,1597,1,15
2513,987,1597,1,15
2514,987,1597,1,15
2515,987,1597,1,15


