i,A,B,gcd,modulus operations
1016,610,987,1,14
1017,610,987,1,14
1018,610,987,1,14
1019,610,987,1,14
1020,610,987,1,14
1021,610,987,1,14
1022,610,987,1,14
1023,610,987,1,14
1024,610,987,1,14
1025,610,987,1,14
1026,610,987,1,14
1027,610,987,1,14
1028,610,987,1,14
1029,610,987,1,14
1030,610,987,1,14
1031,610,987,1,14
1032,610,987,1,14
1033,610,987,1,14
1034,610,987,1,14
1035,610,987,1,14
1036,610,987,1,14
1037,610,987,1,14
1038,610,987,1,14
1039,610,987,1,14
1040,610,987,1,14
1041,610,987,1,14
1042,610,987,1,14
1043,610,987,1,14
1044,610,987,1,14
1045,610,987,1,14
1046,610,987,1,14
1047,610,987,1,14
1048,610,987,1,14
1049,610,987,1,14
1050,610,987,1,14
1051,610,987,1,14
1052,610,987,1,14
1053,610,987,1,14
1054,610,987,1,14
1055,610,987,1,14
1056,610,987,1,14
1057,610,987,1,14
1058,610,987,1,14
1059,610,987,1,14
1060,610,987,1,14
1061,610,987,1,14
1062,610,987,1,14
1063,610,987,1,14
1064,610,987,1,14
1065,610,987,1,14
1066,610,987,1,14
1067,610,987,1,14
1068,610,987,1,14
1069,610,987,1,14
1070,610,987,1,14
1071,610,987,1,14
1072,610,987,1,14
1073,610,987,1,14
1074,610,987,1,14
1075,610,987,1,14
1076,610,987,1,14
1077,610,987,1,14
1078,610,987,1,14
1079,610,987,1,14
1080,610,987,1,14
1081,610,987,1,14
1082,610,987,1,14
1083,610,987,1,14
1084,610,987,1,14
1085,610,987,1,14
1086,610,987,1,14
1087,610,987,1,14
1088,610,987,1,14
1089,610,987,1,14
1090,610,987,1,14
1091,610,987,1,14
1092,610,987,1,14
1093,610,987,1,14
1094,610,987,1,14
1095,610,987,1,14
1096,610,987,1,14
1097,610,987,1,14
1098,610,987,1,14
1099,610,987,1,14
1100,610,987,1,14
1101,610,987,1,14
1102,610,987,1,14
1103,610,987,1,14
1104,610,987,1,14
1105,610,987,1,14
1106,610,987,1,14
1107,610,987,1,14
1108,610,987,1,14
1109,610,987,1,14
1110,610,987,1,14
1111,610,987,1,14
1112,610,987,1,14
1113,610,987,1,14
1114,610,987,1,14
1115,610,987,1,14


