i,A,B,gcd,modulus operations
1116,610,987,1,14
1117,610,987,1,14
1118,610,987,1,14
1119,610,987,1,14
1120,610,987,1,14
1121,610,987,1,14
1122,610,987,1,14
1123,610,987,1,14
1124,610,987,1,14
1125,610,987,1,14
1126,610,987,1,14
1127,610,987,1,14
1128,610,987,1,14
1129,610,987,1,14
1130,610,987,1,14
1131,610,987,1,14
1132,610,987,1,14
1133,610,987,1,14
1134,610,987,1,14
1135,610,987,1,14
1136,610,987,1,14
1137,610,987,1,14
1138,610,987,1,14
1139,610,987,1,14
1140,610,987,1,14
1141,610,987,1,14
1142,610,987,1,14
1143,610,987,1,14
1144,610,987,1,14
1145,610,987,1,14
1146,610,987,1,14
1147,610,987,1,14
1148,610,987,1,14
1149,610,987,1,14
1150,610,987,1,14
1151,610,987,1,14
1152,610,987,1,14
1153,610,987,1,14
1154,610,987,1,14
1155,610,987,1,14
1156,610,987,1,14
1157,610,987,1,14
1158,610,987,1,14
1159,610,987,1,14
1160,610,987,1,14
1161,610,987,1,14
1162,610,987,1,14
1163,610,987,1,14
1164,610,987,1,14
1165,610,987,1,14
1166,610,987,1,14
1167,610,987,1,14
1168,610,987,1,14
1169,610,987,1,14
1170,610,987,1,14
1171,610,987,1,14
1172,610,987,1,14
1173,610,987,1,14
1174,610,987,1,14
1175,610,987,1,14
1176,610,987,1,14
1177,610,987,1,14
1178,610,987,1,14
1179,610,987,1,14
1180,610,987,1,14
1181,610,987,1,14
1182,610,987,1,14
1183,610,987,1,14
1184,610,987,1,14
1185,610,987,1,14
1186,610,987,1,14
1187,610,987,1,14
1188,610,987,1,14
1189,610,987,1,14
1190,610,987,1,14
1191,610,987,1,14
1192,610,987,1,14
1193,610,987,1,14
1194,610,987,1,14
1195,610,987,1,14
1196,610,987,1,14
1197,610,987,1,14
1198,610,987,1,14
1199,610,987,1,14
1200,610,987,1,14
1201,610,987,1,14
1202,610,987,1,14
1203,610,987,1,14
1204,610,987,1,14
1205,610,987,1,14
1206,610,987,1,14
1207,610,987,1,14
1208,610,987,1,14
1209,610,987,1,14
1210,610,987,1,14
1211,610,987,1,14
1212,610,987,1,14
1213,610,987,1,14
1214,610,987,1,14
1215,610,987,1,14


