i,A,B,gcd,modulus operations
516,233,377,1,13
517,233,377,1,13
518,233,377,1,13
519,233,377,1,13
520,233,377,1,13
521,233,377,1,13
522,233,377,1,13
523,233,377,1,13
524,233,377,1,13
525,233,377,1,13
526,233,377,1,13
527,233,377,1,13
528,233,377,1,13
529,233,377,1,13
530,233,377,1,13
531,233,377,1,13
532,233,377,1,13
533,233,377,1,13
534,233,377,1,13
535,233,377,1,13
536,233,377,1,13
537,233,377,1,13
538,233,377,1,13
539,233,377,1,13
540,233,377,1,13
541,233,377,1,13
542,233,377,1,13
543,233,377,1,13
544,233,377,1,13
545,233,377,1,13
546,233,377,1,13
547,233,377,1,13
548,233,377,1,13
549,233,377,1,13
550,233,377,1,13
551,233,377,1,13
552,233,377,1,13
553,233,377,1,13
554,233,377,1,13
555,233,377,1,13
556,233,377,1,13
557,233,377,1,13
558,233,377,1,13
559,233,377,1,13
560,233,377,1,13
561,233,377,1,13
562,233,377,1,13
563,233,377,1,13
564,233,377,1,13
565,233,377,1,13
566,233,377,1,13
567,233,377,1,13
568,233,377,1,13
569,233,377,1,13
570,233,377,1,13
571,233,377,1,13
572,233,377,1,13
573,233,377,1,13
574,233,377,1,13
575,233,377,1,13
576,233,377,1,13
577,233,377,1,13
578,233,377,1,13
579,233,377,1,13
580,233,377,1,13
581,233,377,1,13
582,233,377,1,13
583,233,377,1,13
584,233,377,1,13
585,233,377,1,13
586,233,377,1,13
587,233,377,1,13
588,233,377,1,13
589,233,377,1,13
590,233,377,1,13
591,233,377,1,13
592,233,377,1,13
593,233,377,1,13
594,233,377,1,13
595,233,377,1,13
596,233,377,1,13
597,233,377,1,13
598,233,377,1,13
599,233,377,1,13
600,233,377,1,13
601,233,377,1,13
602,233,377,1,13
603,233,377,1,13
604,233,377,1,13
605,233,377,1,13
606,233,377,1,13
607,233,377,1,13
608,233,377,1,13
609,233,377,1,13
610,377,610,1,14
611,377,610,1,14
612,377,610,1,14
613,377,610,1,14
614,377,610,1,14
615,377,610,1,14


