i,A,B,gcd,modulus operations
2816,1597,2584,1,16
2817,1597,2584,1,16
2818,1597,2584,1,16
2819,1597,2584,1,16
2820,1597,2584,1,16
2821,1597,2584,1,16
2822,1597,2584,1,16
2823,1597,2584,1,16
2824,1597,2584,1,16
2825,1597,2584,1,16
2826,1597,2584,1,16
2827,1597,2584,1,16
2828,1597,2584,1,16
2829,1597,2584,1,16
2830,1597,2584,1,16
2831,1597,2584,1,16
2832,1597,2584,1,16
2833,1597,2584,1,16
2834,1597,2584,1,16
2835,1597,2584,1,16
2836,1597,2584,1,16
2837,1597,2584,1,16
2838,1597,2584,1,16
2839,1597,2584,1,16
2840,1597,2584,1,16
2841,1597,2584,1,16
2842,1597,2584,1,16
2843,1597,2584,1,16
2844,1597,2584,1,16
2845,1597,2584,1,16
2846,1597,2584,1,16
2847,1597,2584,1,16
2848,1597,2584,1,16
2849,1597,2584,1,16
2850,1597,2584,1,16
2851,1597,2584,1,16
2852,1597,2584,1,16
2853,1597,2584,1,16
2854,1597,2584,1,16
2855,1597,2584,1,16
2856,1597,2584,1,16
2857,1597,2584,1,16
2858,1597,2584,1,16
2859,1597,2584,1,16
2860,1597,2584,1,16
2861,1597,2584,1,16
2862,1597,2584,1,16
2863,1597,2584,1,16
2864,1597,2584,1,16
2865,1597,2584,1,16
2866,1597,2584,1,16
2867,1597,2584,1,16
2868,1597,2584,1,16
2869,1597,2584,1,16
2870,1597,2584,1,16
2871,1597,2584,1,16
2872,1597,2584,1,16
2873,1597,2584,1,16
2874,1597,2584,1,16
2875,1597,2584,1,16
2876,1597,2584,1,16
2877,1597,2584,1,16
2878,1597,2584,1,16
2879,1597,2584,1,16
2880,1597,2584,1,16
2881,1597,2584,1,16
2882,1597,2584,1,16
2883,1597,2584,1,16
2884,1597,2584,1,16
2885,1597,2584,1,16
2886,1597,2584,1,16
2887,1597,2584,1,16
2888,1597,2584,1,16
2889,1597,2584,1,16
2890,1597,2584,1,16
2891,1597,2584,1,16
2892,1597,2584,1,16
2893,1597,2584,1,16
2894,1597,2584,1,16
2895,1597,2584,1,16
2896,1597,2584,1,16
2897,1597,2584,1,16
2898,1597,2584,1,16
2899,1597,2584,1,16
2900,1597,2584,1,16
2901,1597,2584,1,16
2902,1597,2584,1,16
2903,1597,2584,1,16
2904,1597,2584,1,16
2905,1597,2584,1,16
2906,1597,2584,1,16
2907,1597,2584,1,16
2908,1597,2584,1,16
2909,1597,2584,1,16
2910,1597,2584,1,16
2911,1597,2584,1,16
2912,1597,2584,1,16
2913,1597,2584,1,16
2914,1597,2584,1,16
2915,1597,2584,1,16


