i,A,B,gcd,modulus operations
2016,987,1597,1,16
2017,987,1597,1,16
2018,987,1597,1,16
2019,987,1597,1,16
2020,987,1597,1,16
2021,987,1597,1,16
2022,987,1597,1,16
2023,987,1597,1,16
2024,987,1597,1,16
2025,987,1597,1,16
2026,987,1597,1,16
2027,987,1597,1,16
2028,987,1597,1,16
2029,987,1597,1,16
2030,987,1597,1,16
2031,987,1597,1,16
2032,987,1597,1,16
2033,987,1597,1,16
2034,987,1597,1,16
2035,987,1597,1,16
2036,987,1597,1,16
2037,987,1597,1,16
2038,987,1597,1,16
2039,987,1597,1,16
2040,987,1597,1,16
2041,987,1597,1,16
2042,987,1597,1,16
2043,987,1597,1,16
2044,987,1597,1,16
2045,987,1597,1,16
2046,987,1597,1,16
2047,987,1597,1,16
2048,987,1597,1,16
2049,987,1597,1,16
2050,987,1597,1,16
2051,987,1597,1,16
2052,987,1597,1,16
2053,987,1597,1,16
2054,987,1597,1,16
2055,987,1597,1,16
2056,987,1597,1,16
2057,987,1597,1,16
2058,987,1597,1,16
2059,987,1597,1,16
2060,987,1597,1,16
2061,987,1597,1,16
2062,987,1597,1,16
2063,987,1597,1,16
2064,987,1597,1,16
2065,987,1597,1,16
2066,987,1597,1,16
2067,987,1597,1,16
2068,987,1597,1,16
2069,987,1597,1,16
2070,987,1597,1,16
2071,987,1597,1,16
2072,987,1597,1,16
2073,987,1597,1,16
2074,987,1597,1,16
2075,987,1597,1,16
2076,987,1597,1,16
2077,987,1597,1,16
2078,987,1597,1,16
2079,987,1597,1,16
2080,987,1597,1,16
2081,987,1597,1,16
2082,987,1597,1,16
2083,987,1597,1,16
2084,987,1597,1,16
2085,987,1597,1,16
2086,987,1597,1,16
2087,987,1597,1,16
2088,987,1597,1,16
2089,987,1597,1,16
2090,987,1597,1,16
2091,987,1597,1,16
2092,987,1597,1,16
2093,987,1597,1,16
2094,987,1597,1,16
2095,987,1597,1,16
2096,987,1597,1,16
2097,987,1597,1,16
2098,987,1597,1,16
2099,987,1597,1,16
2100,987,1597,1,16
2101,987,1597,1,16
2102,987,1597,1,16
2103,987,1597,1,16
2104,987,1597,1,16
2105,987,1597,1,16
2106,987,1597,1,16
2107,987,1597,1,16
2108,987,1597,1,16
2109,987,1597,1,16
2110,987,1597,1,16
2111,987,1597,1,16
2112,987,1597,1,16
2113,987,1597,1,16
2114,987,1597,1,16
2115,987,1597,1,16


