i,A,B,gcd,modulus operations
1716,987,1597,1,16
1717,987,1597,1,16
1718,987,1597,1,16
1719,987,1597,1,16
1720,987,1597,1,16
1721,987,1597,1,16
1722,987,1597,1,16
1723,987,1597,1,16
1724,987,1597,1,16
1725,987,1597,1,16
1726,987,1597,1,16
1727,987,1597,1,16
1728,987,1597,1,16
1729,987,1597,1,16
1730,987,1597,1,16
1731,987,1597,1,16
1732,987,1597,1,16
1733,987,1597,1,16
1734,987,1597,1,16
1735,987,1597,1,16
1736,987,1597,1,16
1737,987,1597,1,16
1738,987,1597,1,16
1739,987,1597,1,16
1740,987,1597,1,16
1741,987,1597,1,16
1742,987,1597,1,16
1743,987,1597,1,16
1744,987,1597,1,16
1745,987,1597,1,16
1746,987,1597,1,16
1747,987,1597,1,16
1748,987,1597,1,16
1749,987,1597,1,16
1750,987,1597,1,16
1751,987,1597,1,16
1752,987,1597,1,16
1753,987,1597,1,16
1754,987,1597,1,16
1755,987,1597,1,16
1756,987,1597,1,16
1757,987,1597,1,16
1758,987,1597,1,16
1759,987,1597,1,16
1760,987,1597,1,16
1761,987,1597,1,16
1762,987,1597,1,16
1763,987,1597,1,16
1764,987,1597,1,16
1765,987,1597,1,16
1766,987,1597,1,16
1767,987,1597,1,16
1768,987,1597,1,16
1769,987,1597,1,16
1770,987,1597,1,16
1771,987,1597,1,16
1772,987,1597,1,16
1773,987,1597,1,16
1774,987,1597,1,16
1775,987,1597,1,16
1776,987,1597,1,16
1777,987,1597,1,16
1778,987,1597,1,16
1779,987,1597,1,16
1780,987,1597,1,16
1781,987,1597,1,16
1782,987,1597,1,16
1783,987,1597,1,16
1784,987,1597,1,16
1785,987,1597,1,16
1786,987,1597,1,16
1787,987,1597,1,16
1788,987,1597,1,16
1789,987,1597,1,16
1790,987,1597,1,16
1791,987,1597,1,16
1792,987,1597,1,16
1793,987,1597,1,16
1794,987,1597,1,16
1795,987,1597,1,16
1796,987,1597,1,16
1797,987,1597,1,16
1798,987,1597,1,16
1799,987,1597,1,16
1800,987,1597,1,16
1801,987,1597,1,16
1802,987,1597,1,16
1803,987,1597,1,16
1804,987,1597,1,16
1805,987,1597,1,16
1806,987,1597,1,16
1807,987,1597,1,16
1808,987,1597,1,16
1809,987,1597,1,16
1810,987,1597,1,16
1811,987,1597,1,16
1812,987,1597,1,16
1813,987,1597,1,16
1814,987,1597,1,16
1815,987,1597,1,16


