i,A,B,gcd,modulus operations
816,377,610,1,14
817,377,610,1,14
818,377,610,1,14
819,377,610,1,14
820,377,610,1,14
821,377,610,1,14
822,377,610,1,14
823,377,610,1,14
824,377,610,1,14
825,377,610,1,14
826,377,610,1,14
827,377,610,1,14
828,377,610,1,14
829,377,610,1,14
830,377,610,1,14
831,377,610,1,14
832,377,610,1,14
833,377,610,1,14
834,377,610,1,14
835,377,610,1,14
836,377,610,1,14
837,377,610,1,14
838,377,610,1,14
839,377,610,1,14
840,377,610,1,14
841,377,610,1,14
842,377,610,1,14
843,377,610,1,14
844,377,610,1,14
845,377,610,1,14
846,377,610,1,14
847,377,610,1,14
848,377,610,1,14
849,377,610,1,14
850,377,610,1,14
851,377,610,1,14
852,377,610,1,14
853,377,610,1,14
854,377,610,1,14
855,377,610,1,14
856,377,610,1,14
857,377,610,1,14
858,377,610,1,14
859,377,610,1,14
860,377,610,1,14
861,377,610,1,14
862,377,610,1,14
863,377,610,1,14
864,377,610,1,14
865,377,610,1,14
866,377,610,1,14
867,377,610,1,14
868,377,610,1,14
869,377,610,1,14
870,377,610,1,14
871,377,610,1,14
872,377,610,1,14
873,377,610,1,14
874,377,610,1,14
875,377,610,1,14
876,377,610,1,14
877,377,610,1,14
878,377,610,1,14
879,377,610,1,14
880,377,610,1,14
881,377,610,1,14
882,377,610,1,14
883,377,610,1,14
884,377,610,1,14
885,377,610,1,14
886,377,610,1,14
887,377,610,1,14
888,377,610,1,14
889,377,610,1,14
890,377,610,1,14
891,377,610,1,14
892,377,610,1,14
893,377,610,1,14
894,377,610,1,14
895,377,610,1,14
896,377,610,1,14
897,377,610,1,14
898,377,610,1,14
899,377,610,1,14
900,377,610,1,14
901,377,610,1,14
902,377,610,1,14
903,377,610,1,14
904,377,610,1,14
905,377,610,1,14
906,377,610,1,14
907,377,610,1,14
908,377,610,1,14
909,377,610,1,14
910,377,610,1,14
911,377,610,1,14
912,377,610,1,14
913,377,610,1,14
914,377,610,1,14
915,377,610,1,14


