i,A,B,gcd,modulus operations
2516,987,1597,1,15
2517,987,1597,1,15
2518,987,1597,1,15
2519,987,1597,1,15
2520,987,1597,1,15
2521,987,1597,1,15
2522,987,1597,1,15
2523,987,1597,1,15
2524,987,1597,1,15
2525,987,1597,1,15
2526,987,1597,1,15
2527,987,1597,1,15
2528,987,1597,1,15
2529,987,1597,1,15
2530,987,1597,1,15
2531,987,1597,1,15
2532,987,1597,1,15
2533,987,1597,1,15
2534,987,1597,1,15
2535,987,1597,1,15
2536,987,1597,1,15
2537,987,1597,1,15
2538,987,1597,1,15
2539,987,1597,1,15
2540,987,1597,1,15
2541,987,1597,1,15
2542,987,1597,1,15
2543,987,1597,1,15
2544,987,1597,1,15
2545,987,1597,1,15
2546,987,1597,1,15
2547,987,1597,1,15
2548,987,1597,1,15
2549,987,1597,1,15
2550,987,1597,1,15
2551,987,1597,1,15
2552,987,1597,1,15
2553,987,1597,1,15
2554,987,1597,1,15
2555,987,1597,1,15
2556,987,1597,1,15
2557,987,1597,1,15
2558,987,1597,1,15
2559,987,1597,1,15
2560,987,1597,1,15
2561,987,1597,1,15
2562,987,1597,1,15
2563,987,1597,1,15
2564,987,1597,1,15
2565,987,1597,1,15
2566,987,1597,1,15
2567,987,1597,1,15
2568,987,1597,1,15
2569,987,1597,1,15
2570,987,1597,1,15
2571,987,1597,1,15
2572,987,1597,1,15
2573,987,1597,1,15
2574,987,1597,1,15
2575,987,1597,1,15
2576,987,1597,1,15
2577,987,1597,1,15
2578,987,1597,1,15
2579,987,1597,1,15
2580,987,1597,1,15
2581,987,1597,1,15
2582,987,1597,1,15
2583,987,1597,1,15
2584,1597,2584,1,16
2585,1597,2584,1,16
2586,1597,2584,1,16
2587,1597,2584,1,16
2588,1597,2584,1,16
2589,1597,2584,1,16
2590,1597,2584,1,16
2591,1597,2584,1,16
2592,1597,2584,1,16
2593,1597,2584,1,16
2594,1597,2584,1,16
2595,1597,2584,1,16
2596,1597,2584,1,16
2597,1597,2584,1,16
2598,1597,2584,1,16
2599,1597,2584,1,16
2600,1597,2584,1,16
2601,1597,2584,1,16
2602,1597,2584,1,16
2603,1597,2584,1,16
2604,1597,2584,1,16
2605,1597,2584,1,16
2606,1597,2584,1,16
2607,1597,2584,1,16
2608,1597,2584,1,16
2609,1597,2584,1,16
2610,1597,2584,1,16
2611,1597,2584,1,16
2612,1597,2584,1,16
2613,1597,2584,1,16
2614,1597,2584,1,16
2615,1597,2584,1,16


