i,A,B,gcd,modulus operations
1816,987,1597,1,15
1817,987,1597,1,15
1818,987,1597,1,15
1819,987,1597,1,15
1820,987,1597,1,15
1821,987,1597,1,15
1822,987,1597,1,15
1823,987,1597,1,15
1824,987,1597,1,15
1825,987,1597,1,15
1826,987,1597,1,15
1827,987,1597,1,15
1828,987,1597,1,15
1829,987,1597,1,15
1830,987,1597,1,15
1831,987,1597,1,15
1832,987,1597,1,15
1833,987,1597,1,15
1834,987,1597,1,15
1835,987,1597,1,15
1836,987,1597,1,15
1837,987,1597,1,15
1838,987,1597,1,15
1839,987,1597,1,15
1840,987,1597,1,15
1841,987,1597,1,15
1842,987,1597,1,15
1843,987,1597,1,15
1844,987,1597,1,15
1845,987,1597,1,15
1846,987,1597,1,15
1847,987,1597,1,15
1848,987,1597,1,15
1849,987,1597,1,15
1850,987,1597,1,15
1851,987,1597,1,15
1852,987,1597,1,15
1853,987,1597,1,15
1854,987,1597,1,15
1855,987,1597,1,15
1856,987,1597,1,15
1857,987,1597,1,15
1858,987,1597,1,15
1859,987,1597,1,15
1860,987,1597,1,15
1861,987,1597,1,15
1862,987,1597,1,15
1863,987,1597,1,15
1864,987,1597,1,15
1865,987,1597,1,15
1866,987,1597,1,15
1867,987,1597,1,15
1868,987,1597,1,15
1869,987,1597,1,15
1870,987,1597,1,15
1871,987,1597,1,15
1872,987,1597,1,15
1873,987,1597,1,15
1874,987,1597,1,15
1875,987,1597,1,15
1876,987,1597,1,15
1877,987,1597,1,15
1878,987,1597,1,15
1879,987,1597,1,15
1880,987,1597,1,15
1881,987,1597,1,15
1882,987,1597,1,15
1883,987,1597,1,15
1884,987,1597,1,15
1885,987,1597,1,15
1886,987,1597,1,15
1887,987,1597,1,15
1888,987,1597,1,15
1889,987,1597,1,15
1890,987,1597,1,15
1891,987,1597,1,15
1892,987,1597,1,15
1893,987,1597,1,15
1894,987,1597,1,15
1895,987,1597,1,15
1896,987,1597,1,15
1897,987,1597,1,15
1898,987,1597,1,15
1899,987,1597,1,15
1900,987,1597,1,15
1901,987,1597,1,15
1902,987,1597,1,15
1903,987,1597,1,15
1904,987,1597,1,15
1905,987,1597,1,15
1906,987,1597,1,15
1907,987,1597,1,15
1908,987,1597,1,15
1909,987,1597,1,15
1910,987,1597,1,15
1911,987,1597,1,15
1912,987,1597,1,15
1913,987,1597,1,15
1914,987,1597,1,15
1915,987,1597,1,15


