i,A,B,gcd,modulus operations,t1,t1Units,t2,t2Units
8,5,8,1,4,4.024,us,4.124,us
9,5,8,1,4,3.984,us,4.124,NA
10,5,8,1,4,4.851,us,4.124,NA
11,8,11,1,4,5.936,us,4.124,NA
12,8,11,1,4,6.923,us,4.124,NA
13,8,13,1,5,8.447,us,59.143,us
14,8,13,1,5,9.737,us,59.143,NA
15,8,13,1,5,10.68,us,59.143,NA
16,8,13,1,5,12.589,us,59.143,NA
17,8,13,1,5,14.417,us,59.143,NA
18,13,18,1,5,16.493,us,59.143,NA
19,13,18,1,5,18.758,us,59.143,NA
20,13,18,1,5,20.349,us,59.143,NA
21,13,21,1,6,22.607,us,178.643,us
22,13,21,1,6,24.707,us,178.643,NA
23,13,21,1,6,27.666,us,178.643,NA
24,13,21,1,6,30.274,us,178.643,NA
25,13,21,1,6,32.888,us,178.643,NA
26,13,21,1,6,35.456,us,178.643,NA
27,13,21,1,6,38.568,us,178.643,NA
28,13,21,1,6,41.834,us,178.643,NA
29,21,29,1,6,46.171,us,178.643,NA
30,21,29,1,6,48.824,us,178.643,NA
31,21,29,1,6,52.485,us,178.643,NA
32,21,29,1,6,57.406,us,178.643,NA
33,21,29,1,6,59.489,us,178.643,NA
34,21,34,1,7,64.378,us,652.921,us
35,21,34,1,7,67.299,us,652.921,NA
36,21,34,1,7,71.205,us,652.921,NA
37,21,34,1,7,76.954,us,652.921,NA
38,21,34,1,7,81.378,us,652.921,NA
39,21,34,1,7,85.564,us,652.921,NA
40,21,34,1,7,91.356,us,652.921,NA
41,21,34,1,7,96.538,us,652.921,NA
42,21,34,1,7,101.084,us,652.921,NA
43,21,34,1,7,106.667,us,652.921,NA
44,21,34,1,7,112.54,us,652.921,NA
45,21,34,1,7,118.276,us,652.921,NA
46,21,34,1,7,123.609,us,652.921,NA
47,34,47,1,7,129.57,us,652.921,NA
48,34,47,1,7,136.583,us,652.921,NA
49,34,47,1,7,143.91,us,652.921,NA
50,34,47,1,7,149.964,us,652.921,NA
51,34,47,1,7,157.152,us,652.921,NA
52,34,47,1,7,164.487,us,652.921,NA
53,34,47,1,7,189.439,us,652.921,NA
54,34,47,1,7,177.53,us,652.921,NA
55,34,55,1,8,186.705,us,2.72417,ms
56,34,55,1,8,192.294,us,2.72417,NA
57,34,55,1,8,199.082,us,2.72417,NA
58,34,55,1,8,206.813,us,2.72417,NA
59,34,55,1,8,216.24,us,2.72417,NA
60,34,55,1,8,223.939,us,2.72417,NA
61,34,55,1,8,232.731,us,2.72417,NA
62,34,55,1,8,242.368,us,2.72417,NA
63,34,55,1,8,248.86,us,2.72417,NA
64,34,55,1,8,258.322,us,2.72417,NA
65,34,55,1,8,268.452,us,2.72417,NA
66,34,55,1,8,278.253,us,2.72417,NA
67,34,55,1,8,286.23,us,2.72417,NA
68,34,55,1,8,299.013,us,2.72417,NA
69,34,55,1,8,307.072,us,2.72417,NA
70,34,55,1,8,316.481,us,2.72417,NA
71,34,55,1,8,305.229,us,2.72417,NA
72,34,55,1,8,315.469,us,2.72417,NA
73,34,55,1,8,330.14,us,2.72417,NA
74,34,55,1,8,337.633,us,2.72417,NA
75,34,55,1,8,347.75,us,2.72417,NA
76,55,76,1,8,356.712,us,2.72417,NA
77,55,76,1,8,368.694,us,2.72417,NA
78,55,76,1,8,377.432,us,2.72417,NA
79,55,76,1,8,391.438,us,2.72417,NA
80,55,76,1,8,396.171,us,2.72417,NA
81,55,76,1,8,415.994,us,2.72417,NA
82,55,76,1,8,421.486,us,2.72417,NA
83,55,76,1,8,434.374,us,2.72417,NA
84,55,76,1,8,442.989,us,2.72417,NA
85,55,76,1,8,457.284,us,2.72417,NA
86,55,76,1,8,469.087,us,2.72417,NA
87,55,76,1,8,485.489,us,2.72417,NA
88,55,76,1,8,490.661,us,2.72417,NA
89,55,89,1,9,509.185,us,11.6698,ms
90,55,89,1,9,516.186,us,11.6698,NA
91,55,89,1,9,529.7,us,11.6698,NA
92,55,89,1,9,542.842,us,11.6698,NA
93,55,89,1,9,559.38,us,11.6698,NA
94,55,89,1,9,572.115,us,11.6698,NA
95,55,89,1,9,585.974,us,11.6698,NA
96,55,89,1,9,608.701,us,11.6698,NA
97,55,89,1,9,578.438,us,11.6698,NA
98,55,89,1,9,592.944,us,11.6698,NA
99,55,89,1,9,605.766,us,11.6698,NA
100,55,89,1,9,614.04,us,11.6698,NA
101,55,89,1,9,632.668,us,11.6698,NA
102,55,89,1,9,643.13,us,11.6698,NA
103,55,89,1,9,661.135,us,11.6698,NA
