given min = 8 and max = 1.7e+308
predicted solutions are
predicted_i, predicted_A, predicted_B, predicted_gcd,predicted_modcalls
1.06634e+027,6.59035e+026,1.06634e+027,1,129
1.72538e+027,1.06634e+027,1.72538e+027,1,130
2.79172e+027,1.72538e+027,2.79172e+027,1,131
4.51709e+027,2.79172e+027,4.51709e+027,1,132
7.30881e+027,4.51709e+027,7.30881e+027,1,133
1.18259e+028,7.30881e+027,1.18259e+028,1,134
1.91347e+028,1.18259e+028,1.91347e+028,1,135
3.09606e+028,1.91347e+028,3.09606e+028,1,136
5.00953e+028,3.09606e+028,5.00953e+028,1,137
8.10559e+028,5.00953e+028,8.10559e+028,1,138
1.31151e+029,8.10559e+028,1.31151e+029,1,139
2.12207e+029,1.31151e+029,2.12207e+029,1,140
3.43358e+029,2.12207e+029,3.43358e+029,1,141
5.55565e+029,3.43358e+029,5.55565e+029,1,142
8.98924e+029,5.55565e+029,8.98924e+029,1,143
1.45449e+030,8.98924e+029,1.45449e+030,1,144
2.35341e+030,1.45449e+030,2.35341e+030,1,145
3.8079e+030,2.35341e+030,3.8079e+030,1,146
6.16131e+030,3.8079e+030,6.16131e+030,1,147
9.96922e+030,6.16131e+030,9.96922e+030,1,148
1.61305e+031,9.96922e+030,1.61305e+031,1,149
2.60997e+031,1.61305e+031,2.60997e+031,1,150
4.22303e+031,2.60997e+031,4.22303e+031,1,151
6.833e+031,4.22303e+031,6.833e+031,1,152
1.1056e+032,6.833e+031,1.1056e+032,1,153
1.7889e+032,1.1056e+032,1.7889e+032,1,154
2.89451e+032,1.7889e+032,2.89451e+032,1,155
4.68341e+032,2.89451e+032,4.68341e+032,1,156
7.57792e+032,4.68341e+032,7.57792e+032,1,157
1.22613e+033,7.57792e+032,1.22613e+033,1,158
1.98392e+033,1.22613e+033,1.98392e+033,1,159
3.21006e+033,1.98392e+033,3.21006e+033,1,160
5.19398e+033,3.21006e+033,5.19398e+033,1,161
8.40404e+033,5.19398e+033,8.40404e+033,1,162
1.3598e+034,8.40404e+033,1.3598e+034,1,163
2.20021e+034,1.3598e+034,2.20021e+034,1,164
3.56001e+034,2.20021e+034,3.56001e+034,1,165
5.76021e+034,3.56001e+034,5.76021e+034,1,166
9.32022e+034,5.76021e+034,9.32022e+034,1,167
1.50804e+035,9.32022e+034,1.50804e+035,1,168
2.44007e+035,1.50804e+035,2.44007e+035,1,169
3.94811e+035,2.44007e+035,3.94811e+035,1,170
6.38817e+035,3.94811e+035,6.38817e+035,1,171
1.03363e+036,6.38817e+035,1.03363e+036,1,172
1.67245e+036,1.03363e+036,1.67245e+036,1,173
2.70607e+036,1.67245e+036,2.70607e+036,1,174
4.37852e+036,2.70607e+036,4.37852e+036,1,175
7.08459e+036,4.37852e+036,7.08459e+036,1,176
1.14631e+037,7.08459e+036,1.14631e+037,1,177
1.85477e+037,1.14631e+037,1.85477e+037,1,178
3.00108e+037,1.85477e+037,3.00108e+037,1,179
4.85585e+037,3.00108e+037,4.85585e+037,1,180
7.85694e+037,4.85585e+037,7.85694e+037,1,181
1.27128e+038,7.85694e+037,1.27128e+038,1,182
2.05697e+038,1.27128e+038,2.05697e+038,1,183
3.32825e+038,2.05697e+038,3.32825e+038,1,184
5.38522e+038,3.32825e+038,5.38522e+038,1,185
8.71347e+038,5.38522e+038,8.71347e+038,1,186
1.40987e+039,8.71347e+038,1.40987e+039,1,187
2.28122e+039,1.40987e+039,2.28122e+039,1,188
3.69109e+039,2.28122e+039,3.69109e+039,1,189
5.9723e+039,3.69109e+039,5.9723e+039,1,190
9.66339e+039,5.9723e+039,9.66339e+039,1,191
1.56357e+040,9.66339e+039,1.56357e+040,1,192
2.52991e+040,1.56357e+040,2.52991e+040,1,193
4.09348e+040,2.52991e+040,4.09348e+040,1,194
6.62339e+040,4.09348e+040,6.62339e+040,1,195
1.07169e+041,6.62339e+040,1.07169e+041,1,196
1.73403e+041,1.07169e+041,1.73403e+041,1,197
2.80571e+041,1.73403e+041,2.80571e+041,1,198
4.53974e+041,2.80571e+041,4.53974e+041,1,199
7.34545e+041,4.53974e+041,7.34545e+041,1,200
1.18852e+042,7.34545e+041,1.18852e+042,1,201
1.92306e+042,1.18852e+042,1.92306e+042,1,202
3.11158e+042,1.92306e+042,3.11158e+042,1,203
5.03465e+042,3.11158e+042,5.03465e+042,1,204
8.14623e+042,5.03465e+042,8.14623e+042,1,205
1.31809e+043,8.14623e+042,1.31809e+043,1,206
2.13271e+043,1.31809e+043,2.13271e+043,1,207
3.4508e+043,2.13271e+043,3.4508e+043,1,208
5.58351e+043,3.4508e+043,5.58351e+043,1,209
9.0343e+043,5.58351e+043,9.0343e+043,1,210
1.46178e+044,9.0343e+043,1.46178e+044,1,211
2.36521e+044,1.46178e+044,2.36521e+044,1,212
3.82699e+044,2.36521e+044,3.82699e+044,1,213
6.1922e+044,3.82699e+044,6.1922e+044,1,214
1.00192e+045,6.1922e+044,1.00192e+045,1,215
1.62114e+045,1.00192e+045,1.62114e+045,1,216
2.62306e+045,1.62114e+045,2.62306e+045,1,217
4.2442e+045,2.62306e+045,4.2442e+045,1,218
6.86726e+045,4.2442e+045,6.86726e+045,1,219
1.11115e+046,6.86726e+045,1.11115e+046,1,220
1.79787e+046,1.11115e+046,1.79787e+046,1,221
2.90902e+046,1.79787e+046,2.90902e+046,1,222
4.70689e+046,2.90902e+046,4.70689e+046,1,223
7.61591e+046,4.70689e+046,7.61591e+046,1,224
1.23228e+047,7.61591e+046,1.23228e+047,1,225
1.99387e+047,1.23228e+047,1.99387e+047,1,226
3.22615e+047,1.99387e+047,3.22615e+047,1,227
5.22002e+047,3.22615e+047,5.22002e+047,1,228
8.44617e+047,5.22002e+047,8.44617e+047,1,229
1.36662e+048,8.44617e+047,1.36662e+048,1,230
2.21124e+048,1.36662e+048,2.21124e+048,1,231
3.57786e+048,2.21124e+048,3.57786e+048,1,232
5.78909e+048,3.57786e+048,5.78909e+048,1,233
9.36695e+048,5.78909e+048,9.36695e+048,1,234
1.5156e+049,9.36695e+048,1.5156e+049,1,235
2.4523e+049,1.5156e+049,2.4523e+049,1,236
3.9679e+049,2.4523e+049,3.9679e+049,1,237
6.4202e+049,3.9679e+049,6.4202e+049,1,238
1.03881e+050,6.4202e+049,1.03881e+050,1,239
1.68083e+050,1.03881e+050,1.68083e+050,1,240
2.71964e+050,1.68083e+050,2.71964e+050,1,241
4.40047e+050,2.71964e+050,4.40047e+050,1,242
7.12011e+050,4.40047e+050,7.12011e+050,1,243
1.15206e+051,7.12011e+050,1.15206e+051,1,244
1.86407e+051,1.15206e+051,1.86407e+051,1,245
3.01613e+051,1.86407e+051,3.01613e+051,1,246
4.8802e+051,3.01613e+051,4.8802e+051,1,247
7.89633e+051,4.8802e+051,7.89633e+051,1,248
1.27765e+052,7.89633e+051,1.27765e+052,1,249
2.06728e+052,1.27765e+052,2.06728e+052,1,250
3.34494e+052,2.06728e+052,3.34494e+052,1,251
5.41222e+052,3.34494e+052,5.41222e+052,1,252
8.75716e+052,5.41222e+052,8.75716e+052,1,253
1.41694e+053,8.75716e+052,1.41694e+053,1,254
2.29265e+053,1.41694e+053,2.29265e+053,1,255
3.70959e+053,2.29265e+053,3.70959e+053,1,256
6.00225e+053,3.70959e+053,6.00225e+053,1,257
9.71184e+053,6.00225e+053,9.71184e+053,1,258
1.57141e+054,9.71184e+053,1.57141e+054,1,259
2.54259e+054,1.57141e+054,2.54259e+054,1,260
4.114e+054,2.54259e+054,4.114e+054,1,261
6.65659e+054,4.114e+054,6.65659e+054,1,262
1.07706e+055,6.65659e+054,1.07706e+055,1,263
1.74272e+055,1.07706e+055,1.74272e+055,1,264
2.81978e+055,1.74272e+055,2.81978e+055,1,265
4.5625e+055,2.81978e+055,4.5625e+055,1,266
7.38228e+055,4.5625e+055,7.38228e+055,1,267
1.19448e+056,7.38228e+055,1.19448e+056,1,268
1.9327e+056,1.19448e+056,1.9327e+056,1,269
3.12718e+056,1.9327e+056,3.12718e+056,1,270
5.05989e+056,3.12718e+056,5.05989e+056,1,271
8.18707e+056,5.05989e+056,8.18707e+056,1,272
1.3247e+057,8.18707e+056,1.3247e+057,1,273
2.1434e+057,1.3247e+057,2.1434e+057,1,274
3.4681e+057,2.1434e+057,3.4681e+057,1,275
5.6115e+057,3.4681e+057,5.6115e+057,1,276
9.0796e+057,5.6115e+057,9.0796e+057,1,277
1.46911e+058,9.0796e+057,1.46911e+058,1,278
2.37707e+058,1.46911e+058,2.37707e+058,1,279
3.84618e+058,2.37707e+058,3.84618e+058,1,280
6.22325e+058,3.84618e+058,6.22325e+058,1,281
1.00694e+059,6.22325e+058,1.00694e+059,1,282
1.62927e+059,1.00694e+059,1.62927e+059,1,283
2.63621e+059,1.62927e+059,2.63621e+059,1,284
4.26548e+059,2.63621e+059,4.26548e+059,1,285
6.90169e+059,4.26548e+059,6.90169e+059,1,286
1.11672e+060,6.90169e+059,1.11672e+060,1,287
1.80689e+060,1.11672e+060,1.80689e+060,1,288
2.9236e+060,1.80689e+060,2.9236e+060,1,289
4.73049e+060,2.9236e+060,4.73049e+060,1,290
7.65409e+060,4.73049e+060,7.65409e+060,1,291
1.23846e+061,7.65409e+060,1.23846e+061,1,292
2.00387e+061,1.23846e+061,2.00387e+061,1,293
3.24232e+061,2.00387e+061,3.24232e+061,1,294
5.24619e+061,3.24232e+061,5.24619e+061,1,295
8.48852e+061,5.24619e+061,8.48852e+061,1,296
1.37347e+062,8.48852e+061,1.37347e+062,1,297
2.22232e+062,1.37347e+062,2.22232e+062,1,298
3.59579e+062,2.22232e+062,3.59579e+062,1,299
