i,A,B,gcd,modulus operations
1516,610,987,1,14
1517,610,987,1,14
1518,610,987,1,14
1519,610,987,1,14
1520,610,987,1,14
1521,610,987,1,14
1522,610,987,1,14
1523,610,987,1,14
1524,610,987,1,14
1525,610,987,1,14
1526,610,987,1,14
1527,610,987,1,14
1528,610,987,1,14
1529,610,987,1,14
1530,610,987,1,14
1531,610,987,1,14
1532,610,987,1,14
1533,610,987,1,14
1534,610,987,1,14
1535,610,987,1,14
1536,610,987,1,14
1537,610,987,1,14
1538,610,987,1,14
1539,610,987,1,14
1540,610,987,1,14
1541,610,987,1,14
1542,610,987,1,14
1543,610,987,1,14
1544,610,987,1,14
1545,610,987,1,14
1546,610,987,1,14
1547,610,987,1,14
1548,610,987,1,14
1549,610,987,1,14
1550,610,987,1,14
1551,610,987,1,14
1552,610,987,1,14
1553,610,987,1,14
1554,610,987,1,14
1555,610,987,1,14
1556,610,987,1,14
1557,610,987,1,14
1558,610,987,1,14
1559,610,987,1,14
1560,610,987,1,14
1561,610,987,1,14
1562,610,987,1,14
1563,610,987,1,14
1564,610,987,1,14
1565,610,987,1,14
1566,610,987,1,14
1567,610,987,1,14
1568,610,987,1,14
1569,610,987,1,14
1570,610,987,1,14
1571,610,987,1,14
1572,610,987,1,14
1573,610,987,1,14
1574,610,987,1,14
1575,610,987,1,14
1576,610,987,1,14
1577,610,987,1,14
1578,610,987,1,14
1579,610,987,1,14
1580,610,987,1,14
1581,610,987,1,14
1582,610,987,1,14
1583,610,987,1,14
1584,610,987,1,14
1585,610,987,1,14
1586,610,987,1,14
1587,610,987,1,14
1588,610,987,1,14
1589,610,987,1,14
1590,610,987,1,14
1591,610,987,1,14
1592,610,987,1,14
1593,610,987,1,14
1594,610,987,1,14
1595,610,987,1,14
1596,610,987,1,14
1597,987,1597,1,15
1598,987,1597,1,15
1599,987,1597,1,15
1600,987,1597,1,15
1601,987,1597,1,15
1602,987,1597,1,15
1603,987,1597,1,15
1604,987,1597,1,15
1605,987,1597,1,15
1606,987,1597,1,15
1607,987,1597,1,15
1608,987,1597,1,15
1609,987,1597,1,15
1610,987,1597,1,15
1611,987,1597,1,15
1612,987,1597,1,15
1613,987,1597,1,15
1614,987,1597,1,15
1615,987,1597,1,15


