i,A,B,gcd,modulus operations
1616,987,1597,1,15
1617,987,1597,1,15
1618,987,1597,1,15
1619,987,1597,1,15
1620,987,1597,1,15
1621,987,1597,1,15
1622,987,1597,1,15
1623,987,1597,1,15
1624,987,1597,1,15
1625,987,1597,1,15
1626,987,1597,1,15
1627,987,1597,1,15
1628,987,1597,1,15
1629,987,1597,1,15
1630,987,1597,1,15
1631,987,1597,1,15
1632,987,1597,1,15
1633,987,1597,1,15
1634,987,1597,1,15
1635,987,1597,1,15
1636,987,1597,1,15
1637,987,1597,1,15
1638,987,1597,1,15
1639,987,1597,1,15
1640,987,1597,1,15
1641,987,1597,1,15
1642,987,1597,1,15
1643,987,1597,1,15
1644,987,1597,1,15
1645,987,1597,1,15
1646,987,1597,1,15
1647,987,1597,1,15
1648,987,1597,1,15
1649,987,1597,1,15
1650,987,1597,1,15
1651,987,1597,1,15
1652,987,1597,1,15
1653,987,1597,1,15
1654,987,1597,1,15
1655,987,1597,1,15
1656,987,1597,1,15
1657,987,1597,1,15
1658,987,1597,1,15
1659,987,1597,1,15
1660,987,1597,1,15
1661,987,1597,1,15
1662,987,1597,1,15
1663,987,1597,1,15
1664,987,1597,1,15
1665,987,1597,1,15
1666,987,1597,1,15
1667,987,1597,1,15
1668,987,1597,1,15
1669,987,1597,1,15
1670,987,1597,1,15
1671,987,1597,1,15
1672,987,1597,1,15
1673,987,1597,1,15
1674,987,1597,1,15
1675,987,1597,1,15
1676,987,1597,1,15
1677,987,1597,1,15
1678,987,1597,1,15
1679,987,1597,1,15
1680,987,1597,1,15
1681,987,1597,1,15
1682,987,1597,1,15
1683,987,1597,1,15
1684,987,1597,1,15
1685,987,1597,1,15
1686,987,1597,1,15
1687,987,1597,1,15
1688,987,1597,1,15
1689,987,1597,1,15
1690,987,1597,1,15
1691,987,1597,1,15
1692,987,1597,1,15
1693,987,1597,1,15
1694,987,1597,1,15
1695,987,1597,1,15
1696,987,1597,1,15
1697,987,1597,1,15
1698,987,1597,1,15
1699,987,1597,1,15
1700,987,1597,1,15
1701,987,1597,1,15
1702,987,1597,1,15
1703,987,1597,1,15
1704,987,1597,1,15
1705,987,1597,1,15
1706,987,1597,1,15
1707,987,1597,1,15
1708,987,1597,1,15
1709,987,1597,1,15
1710,987,1597,1,15
1711,987,1597,1,15
1712,987,1597,1,15
1713,987,1597,1,15
1714,987,1597,1,15
1715,987,1597,1,15


