i,A,B,gcd,modulus operations
916,377,610,1,13
917,377,610,1,13
918,377,610,1,13
919,377,610,1,13
920,377,610,1,13
921,377,610,1,13
922,377,610,1,13
923,377,610,1,13
924,377,610,1,13
925,377,610,1,13
926,377,610,1,13
927,377,610,1,13
928,377,610,1,13
929,377,610,1,13
930,377,610,1,13
931,377,610,1,13
932,377,610,1,13
933,377,610,1,13
934,377,610,1,13
935,377,610,1,13
936,377,610,1,13
937,377,610,1,13
938,377,610,1,13
939,377,610,1,13
940,377,610,1,13
941,377,610,1,13
942,377,610,1,13
943,377,610,1,13
944,377,610,1,13
945,377,610,1,13
946,377,610,1,13
947,377,610,1,13
948,377,610,1,13
949,377,610,1,13
950,377,610,1,13
951,377,610,1,13
952,377,610,1,13
953,377,610,1,13
954,377,610,1,13
955,377,610,1,13
956,377,610,1,13
957,377,610,1,13
958,377,610,1,13
959,377,610,1,13
960,377,610,1,13
961,377,610,1,13
962,377,610,1,13
963,377,610,1,13
964,377,610,1,13
965,377,610,1,13
966,377,610,1,13
967,377,610,1,13
968,377,610,1,13
969,377,610,1,13
970,377,610,1,13
971,377,610,1,13
972,377,610,1,13
973,377,610,1,13
974,377,610,1,13
975,377,610,1,13
976,377,610,1,13
977,377,610,1,13
978,377,610,1,13
979,377,610,1,13
980,377,610,1,13
981,377,610,1,13
982,377,610,1,13
983,377,610,1,13
984,377,610,1,13
985,377,610,1,13
986,377,610,1,13
987,610,987,1,14
988,610,987,1,14
989,610,987,1,14
990,610,987,1,14
991,610,987,1,14
992,610,987,1,14
993,610,987,1,14
994,610,987,1,14
995,610,987,1,14
996,610,987,1,14
997,610,987,1,14
998,610,987,1,14
999,610,987,1,14
1000,610,987,1,14
1001,610,987,1,14
1002,610,987,1,14
1003,610,987,1,14
1004,610,987,1,14
1005,610,987,1,14
1006,610,987,1,14
1007,610,987,1,14
1008,610,987,1,14
1009,610,987,1,14
1010,610,987,1,14
1011,610,987,1,14
1012,610,987,1,14
1013,610,987,1,14
1014,610,987,1,14
1015,610,987,1,14


