i,A,B,gcd,modulus operations
2016,987,1597,1,15
2017,987,1597,1,15
2018,987,1597,1,15
2019,987,1597,1,15
2020,987,1597,1,15
2021,987,1597,1,15
2022,987,1597,1,15
2023,987,1597,1,15
2024,987,1597,1,15
2025,987,1597,1,15
2026,987,1597,1,15
2027,987,1597,1,15
2028,987,1597,1,15
2029,987,1597,1,15
2030,987,1597,1,15
2031,987,1597,1,15
2032,987,1597,1,15
2033,987,1597,1,15
2034,987,1597,1,15
2035,987,1597,1,15
2036,987,1597,1,15
2037,987,1597,1,15
2038,987,1597,1,15
2039,987,1597,1,15
2040,987,1597,1,15
2041,987,1597,1,15
2042,987,1597,1,15
2043,987,1597,1,15
2044,987,1597,1,15
2045,987,1597,1,15
2046,987,1597,1,15
2047,987,1597,1,15
2048,987,1597,1,15
2049,987,1597,1,15
2050,987,1597,1,15
2051,987,1597,1,15
2052,987,1597,1,15
2053,987,1597,1,15
2054,987,1597,1,15
2055,987,1597,1,15
2056,987,1597,1,15
2057,987,1597,1,15
2058,987,1597,1,15
2059,987,1597,1,15
2060,987,1597,1,15
2061,987,1597,1,15
2062,987,1597,1,15
2063,987,1597,1,15
2064,987,1597,1,15
2065,987,1597,1,15
2066,987,1597,1,15
2067,987,1597,1,15
2068,987,1597,1,15
2069,987,1597,1,15
2070,987,1597,1,15
2071,987,1597,1,15
2072,987,1597,1,15
2073,987,1597,1,15
2074,987,1597,1,15
2075,987,1597,1,15
2076,987,1597,1,15
2077,987,1597,1,15
2078,987,1597,1,15
2079,987,1597,1,15
2080,987,1597,1,15
2081,987,1597,1,15
2082,987,1597,1,15
2083,987,1597,1,15
2084,987,1597,1,15
2085,987,1597,1,15
2086,987,1597,1,15
2087,987,1597,1,15
2088,987,1597,1,15
2089,987,1597,1,15
2090,987,1597,1,15
2091,987,1597,1,15
2092,987,1597,1,15
2093,987,1597,1,15
2094,987,1597,1,15
2095,987,1597,1,15
2096,987,1597,1,15
2097,987,1597,1,15
2098,987,1597,1,15
2099,987,1597,1,15
2100,987,1597,1,15
2101,987,1597,1,15
2102,987,1597,1,15
2103,987,1597,1,15
2104,987,1597,1,15
2105,987,1597,1,15
2106,987,1597,1,15
2107,987,1597,1,15
2108,987,1597,1,15
2109,987,1597,1,15
2110,987,1597,1,15
2111,987,1597,1,15
2112,987,1597,1,15
2113,987,1597,1,15
2114,987,1597,1,15
2115,987,1597,1,15


