i,A,B,gcd,modulus operations
216,89,144,1,10
217,89,144,1,10
218,89,144,1,10
219,89,144,1,10
220,89,144,1,10
221,89,144,1,10
222,89,144,1,10
223,89,144,1,10
224,89,144,1,10
225,89,144,1,10
226,89,144,1,10
227,89,144,1,10
228,89,144,1,10
229,89,144,1,10
230,89,144,1,10
231,89,144,1,10
232,89,144,1,10
233,144,233,1,11
234,144,233,1,11
235,144,233,1,11
236,144,233,1,11
237,144,233,1,11
238,144,233,1,11
239,144,233,1,11
240,144,233,1,11
241,144,233,1,11
242,144,233,1,11
243,144,233,1,11
244,144,233,1,11
245,144,233,1,11
246,144,233,1,11
247,144,233,1,11
248,144,233,1,11
249,144,233,1,11
250,144,233,1,11
251,144,233,1,11
252,144,233,1,11
253,144,233,1,11
254,144,233,1,11
255,144,233,1,11
256,144,233,1,11
257,144,233,1,11
258,144,233,1,11
259,144,233,1,11
260,144,233,1,11
261,144,233,1,11
262,144,233,1,11
263,144,233,1,11
264,144,233,1,11
265,144,233,1,11
266,144,233,1,11
267,144,233,1,11
268,144,233,1,11
269,144,233,1,11
270,144,233,1,11
271,144,233,1,11
272,144,233,1,11
273,144,233,1,11
274,144,233,1,11
275,144,233,1,11
276,144,233,1,11
277,144,233,1,11
278,144,233,1,11
279,144,233,1,11
280,144,233,1,11
281,144,233,1,11
282,144,233,1,11
283,144,233,1,11
284,144,233,1,11
285,144,233,1,11
286,144,233,1,11
287,144,233,1,11
288,144,233,1,11
289,144,233,1,11
290,144,233,1,11
291,144,233,1,11
292,144,233,1,11
293,144,233,1,11
294,144,233,1,11
295,144,233,1,11
296,144,233,1,11
297,144,233,1,11
298,144,233,1,11
299,144,233,1,11
300,144,233,1,11
301,144,233,1,11
302,144,233,1,11
303,144,233,1,11
304,144,233,1,11
305,144,233,1,11
306,144,233,1,11
307,144,233,1,11
308,144,233,1,11
309,144,233,1,11
310,144,233,1,11
311,144,233,1,11
312,144,233,1,11
313,144,233,1,11
314,144,233,1,11
315,144,233,1,11


