i,A,B,gcd,modulus operations
2116,987,1597,1,15
2117,987,1597,1,15
2118,987,1597,1,15
2119,987,1597,1,15
2120,987,1597,1,15
2121,987,1597,1,15
2122,987,1597,1,15
2123,987,1597,1,15
2124,987,1597,1,15
2125,987,1597,1,15
2126,987,1597,1,15
2127,987,1597,1,15
2128,987,1597,1,15
2129,987,1597,1,15
2130,987,1597,1,15
2131,987,1597,1,15
2132,987,1597,1,15
2133,987,1597,1,15
2134,987,1597,1,15
2135,987,1597,1,15
2136,987,1597,1,15
2137,987,1597,1,15
2138,987,1597,1,15
2139,987,1597,1,15
2140,987,1597,1,15
2141,987,1597,1,15
2142,987,1597,1,15
2143,987,1597,1,15
2144,987,1597,1,15
2145,987,1597,1,15
2146,987,1597,1,15
2147,987,1597,1,15
2148,987,1597,1,15
2149,987,1597,1,15
2150,987,1597,1,15
2151,987,1597,1,15
2152,987,1597,1,15
2153,987,1597,1,15
2154,987,1597,1,15
2155,987,1597,1,15
2156,987,1597,1,15
2157,987,1597,1,15
2158,987,1597,1,15
2159,987,1597,1,15
2160,987,1597,1,15
2161,987,1597,1,15
2162,987,1597,1,15
2163,987,1597,1,15
2164,987,1597,1,15
2165,987,1597,1,15
2166,987,1597,1,15
2167,987,1597,1,15
2168,987,1597,1,15
2169,987,1597,1,15
2170,987,1597,1,15
2171,987,1597,1,15
2172,987,1597,1,15
2173,987,1597,1,15
2174,987,1597,1,15
2175,987,1597,1,15
2176,987,1597,1,15
2177,987,1597,1,15
2178,987,1597,1,15
2179,987,1597,1,15
2180,987,1597,1,15
2181,987,1597,1,15
2182,987,1597,1,15
2183,987,1597,1,15
2184,987,1597,1,15
2185,987,1597,1,15
2186,987,1597,1,15
2187,987,1597,1,15
2188,987,1597,1,15
2189,987,1597,1,15
2190,987,1597,1,15
2191,987,1597,1,15
2192,987,1597,1,15
2193,987,1597,1,15
2194,987,1597,1,15
2195,987,1597,1,15
2196,987,1597,1,15
2197,987,1597,1,15
2198,987,1597,1,15
2199,987,1597,1,15
2200,987,1597,1,15
2201,987,1597,1,15
2202,987,1597,1,15
2203,987,1597,1,15
2204,987,1597,1,15
2205,987,1597,1,15
2206,987,1597,1,15
2207,987,1597,1,15
2208,987,1597,1,15
2209,987,1597,1,15
2210,987,1597,1,15
2211,987,1597,1,15
2212,987,1597,1,15
2213,987,1597,1,15
2214,987,1597,1,15
2215,987,1597,1,15


