i,A,B,gcd,modulus operations
1316,610,987,1,14
1317,610,987,1,14
1318,610,987,1,14
1319,610,987,1,14
1320,610,987,1,14
1321,610,987,1,14
1322,610,987,1,14
1323,610,987,1,14
1324,610,987,1,14
1325,610,987,1,14
1326,610,987,1,14
1327,610,987,1,14
1328,610,987,1,14
1329,610,987,1,14
1330,610,987,1,14
1331,610,987,1,14
1332,610,987,1,14
1333,610,987,1,14
1334,610,987,1,14
1335,610,987,1,14
1336,610,987,1,14
1337,610,987,1,14
1338,610,987,1,14
1339,610,987,1,14
1340,610,987,1,14
1341,610,987,1,14
1342,610,987,1,14
1343,610,987,1,14
1344,610,987,1,14
1345,610,987,1,14
1346,610,987,1,14
1347,610,987,1,14
1348,610,987,1,14
1349,610,987,1,14
1350,610,987,1,14
1351,610,987,1,14
1352,610,987,1,14
1353,610,987,1,14
1354,610,987,1,14
1355,610,987,1,14
1356,610,987,1,14
1357,610,987,1,14
1358,610,987,1,14
1359,610,987,1,14
1360,610,987,1,14
1361,610,987,1,14
1362,610,987,1,14
1363,610,987,1,14
1364,610,987,1,14
1365,610,987,1,14
1366,610,987,1,14
1367,610,987,1,14
1368,610,987,1,14
1369,610,987,1,14
1370,610,987,1,14
1371,610,987,1,14
1372,610,987,1,14
1373,610,987,1,14
1374,610,987,1,14
1375,610,987,1,14
1376,610,987,1,14
1377,610,987,1,14
1378,610,987,1,14
1379,610,987,1,14
1380,610,987,1,14
1381,610,987,1,14
1382,610,987,1,14
1383,610,987,1,14
1384,610,987,1,14
1385,610,987,1,14
1386,610,987,1,14
1387,610,987,1,14
1388,610,987,1,14
1389,610,987,1,14
1390,610,987,1,14
1391,610,987,1,14
1392,610,987,1,14
1393,610,987,1,14
1394,610,987,1,14
1395,610,987,1,14
1396,610,987,1,14
1397,610,987,1,14
1398,610,987,1,14
1399,610,987,1,14
1400,610,987,1,14
1401,610,987,1,14
1402,610,987,1,14
1403,610,987,1,14
1404,610,987,1,14
1405,610,987,1,14
1406,610,987,1,14
1407,610,987,1,14
1408,610,987,1,14
1409,610,987,1,14
1410,610,987,1,14
1411,610,987,1,14
1412,610,987,1,14
1413,610,987,1,14
1414,610,987,1,14
1415,610,987,1,14


