i,A,B,gcd,modulus operations
2316,987,1597,1,15
2317,987,1597,1,15
2318,987,1597,1,15
2319,987,1597,1,15
2320,987,1597,1,15
2321,987,1597,1,15
2322,987,1597,1,15
2323,987,1597,1,15
2324,987,1597,1,15
2325,987,1597,1,15
2326,987,1597,1,15
2327,987,1597,1,15
2328,987,1597,1,15
2329,987,1597,1,15
2330,987,1597,1,15
2331,987,1597,1,15
2332,987,1597,1,15
2333,987,1597,1,15
2334,987,1597,1,15
2335,987,1597,1,15
2336,987,1597,1,15
2337,987,1597,1,15
2338,987,1597,1,15
2339,987,1597,1,15
2340,987,1597,1,15
2341,987,1597,1,15
2342,987,1597,1,15
2343,987,1597,1,15
2344,987,1597,1,15
2345,987,1597,1,15
2346,987,1597,1,15
2347,987,1597,1,15
2348,987,1597,1,15
2349,987,1597,1,15
2350,987,1597,1,15
2351,987,1597,1,15
2352,987,1597,1,15
2353,987,1597,1,15
2354,987,1597,1,15
2355,987,1597,1,15
2356,987,1597,1,15
2357,987,1597,1,15
2358,987,1597,1,15
2359,987,1597,1,15
2360,987,1597,1,15
2361,987,1597,1,15
2362,987,1597,1,15
2363,987,1597,1,15
2364,987,1597,1,15
2365,987,1597,1,15
2366,987,1597,1,15
2367,987,1597,1,15
2368,987,1597,1,15
2369,987,1597,1,15
2370,987,1597,1,15
2371,987,1597,1,15
2372,987,1597,1,15
2373,987,1597,1,15
2374,987,1597,1,15
2375,987,1597,1,15
2376,987,1597,1,15
2377,987,1597,1,15
2378,987,1597,1,15
2379,987,1597,1,15
2380,987,1597,1,15
2381,987,1597,1,15
2382,987,1597,1,15
2383,987,1597,1,15
2384,987,1597,1,15
2385,987,1597,1,15
2386,987,1597,1,15
2387,987,1597,1,15
2388,987,1597,1,15
2389,987,1597,1,15
2390,987,1597,1,15
2391,987,1597,1,15
2392,987,1597,1,15
2393,987,1597,1,15
2394,987,1597,1,15
2395,987,1597,1,15
2396,987,1597,1,15
2397,987,1597,1,15
2398,987,1597,1,15
2399,987,1597,1,15
2400,987,1597,1,15
2401,987,1597,1,15
2402,987,1597,1,15
2403,987,1597,1,15
2404,987,1597,1,15
2405,987,1597,1,15
2406,987,1597,1,15
2407,987,1597,1,15
2408,987,1597,1,15
2409,987,1597,1,15
2410,987,1597,1,15
2411,987,1597,1,15
2412,987,1597,1,15
2413,987,1597,1,15
2414,987,1597,1,15
2415,987,1597,1,15


