i,A,B,gcd,modulus operations
1716,987,1597,1,15
1717,987,1597,1,15
1718,987,1597,1,15
1719,987,1597,1,15
1720,987,1597,1,15
1721,987,1597,1,15
1722,987,1597,1,15
1723,987,1597,1,15
1724,987,1597,1,15
1725,987,1597,1,15
1726,987,1597,1,15
1727,987,1597,1,15
1728,987,1597,1,15
1729,987,1597,1,15
1730,987,1597,1,15
1731,987,1597,1,15
1732,987,1597,1,15
1733,987,1597,1,15
1734,987,1597,1,15
1735,987,1597,1,15
1736,987,1597,1,15
1737,987,1597,1,15
1738,987,1597,1,15
1739,987,1597,1,15
1740,987,1597,1,15
1741,987,1597,1,15
1742,987,1597,1,15
1743,987,1597,1,15
1744,987,1597,1,15
1745,987,1597,1,15
1746,987,1597,1,15
1747,987,1597,1,15
1748,987,1597,1,15
1749,987,1597,1,15
1750,987,1597,1,15
1751,987,1597,1,15
1752,987,1597,1,15
1753,987,1597,1,15
1754,987,1597,1,15
1755,987,1597,1,15
1756,987,1597,1,15
1757,987,1597,1,15
1758,987,1597,1,15
1759,987,1597,1,15
1760,987,1597,1,15
1761,987,1597,1,15
1762,987,1597,1,15
1763,987,1597,1,15
1764,987,1597,1,15
1765,987,1597,1,15
1766,987,1597,1,15
1767,987,1597,1,15
1768,987,1597,1,15
1769,987,1597,1,15
1770,987,1597,1,15
1771,987,1597,1,15
1772,987,1597,1,15
1773,987,1597,1,15
1774,987,1597,1,15
1775,987,1597,1,15
1776,987,1597,1,15
1777,987,1597,1,15
1778,987,1597,1,15
1779,987,1597,1,15
1780,987,1597,1,15
1781,987,1597,1,15
1782,987,1597,1,15
1783,987,1597,1,15
1784,987,1597,1,15
1785,987,1597,1,15
1786,987,1597,1,15
1787,987,1597,1,15
1788,987,1597,1,15
1789,987,1597,1,15
1790,987,1597,1,15
1791,987,1597,1,15
1792,987,1597,1,15
1793,987,1597,1,15
1794,987,1597,1,15
1795,987,1597,1,15
1796,987,1597,1,15
1797,987,1597,1,15
1798,987,1597,1,15
1799,987,1597,1,15
1800,987,1597,1,15
1801,987,1597,1,15
1802,987,1597,1,15
1803,987,1597,1,15
1804,987,1597,1,15
1805,987,1597,1,15
1806,987,1597,1,15
1807,987,1597,1,15
1808,987,1597,1,15
1809,987,1597,1,15
1810,987,1597,1,15
1811,987,1597,1,15
1812,987,1597,1,15
1813,987,1597,1,15
1814,987,1597,1,15
1815,987,1597,1,15


