i,A,B,gcd,modulus operations
1216,610,987,1,14
1217,610,987,1,14
1218,610,987,1,14
1219,610,987,1,14
1220,610,987,1,14
1221,610,987,1,14
1222,610,987,1,14
1223,610,987,1,14
1224,610,987,1,14
1225,610,987,1,14
1226,610,987,1,14
1227,610,987,1,14
1228,610,987,1,14
1229,610,987,1,14
1230,610,987,1,14
1231,610,987,1,14
1232,610,987,1,14
1233,610,987,1,14
1234,610,987,1,14
1235,610,987,1,14
1236,610,987,1,14
1237,610,987,1,14
1238,610,987,1,14
1239,610,987,1,14
1240,610,987,1,14
1241,610,987,1,14
1242,610,987,1,14
1243,610,987,1,14
1244,610,987,1,14
1245,610,987,1,14
1246,610,987,1,14
1247,610,987,1,14
1248,610,987,1,14
1249,610,987,1,14
1250,610,987,1,14
1251,610,987,1,14
1252,610,987,1,14
1253,610,987,1,14
1254,610,987,1,14
1255,610,987,1,14
1256,610,987,1,14
1257,610,987,1,14
1258,610,987,1,14
1259,610,987,1,14
1260,610,987,1,14
1261,610,987,1,14
1262,610,987,1,14
1263,610,987,1,14
1264,610,987,1,14
1265,610,987,1,14
1266,610,987,1,14
1267,610,987,1,14
1268,610,987,1,14
1269,610,987,1,14
1270,610,987,1,14
1271,610,987,1,14
1272,610,987,1,14
1273,610,987,1,14
1274,610,987,1,14
1275,610,987,1,14
1276,610,987,1,14
1277,610,987,1,14
1278,610,987,1,14
1279,610,987,1,14
1280,610,987,1,14
1281,610,987,1,14
1282,610,987,1,14
1283,610,987,1,14
1284,610,987,1,14
1285,610,987,1,14
1286,610,987,1,14
1287,610,987,1,14
1288,610,987,1,14
1289,610,987,1,14
1290,610,987,1,14
1291,610,987,1,14
1292,610,987,1,14
1293,610,987,1,14
1294,610,987,1,14
1295,610,987,1,14
1296,610,987,1,14
1297,610,987,1,14
1298,610,987,1,14
1299,610,987,1,14
1300,610,987,1,14
1301,610,987,1,14
1302,610,987,1,14
1303,610,987,1,14
1304,610,987,1,14
1305,610,987,1,14
1306,610,987,1,14
1307,610,987,1,14
1308,610,987,1,14
1309,610,987,1,14
1310,610,987,1,14
1311,610,987,1,14
1312,610,987,1,14
1313,610,987,1,14
1314,610,987,1,14
1315,610,987,1,14


