i,A,B,gcd,modulus operations
2616,1597,2584,1,16
2617,1597,2584,1,16
2618,1597,2584,1,16
2619,1597,2584,1,16
2620,1597,2584,1,16
2621,1597,2584,1,16
2622,1597,2584,1,16
2623,1597,2584,1,16
2624,1597,2584,1,16
2625,1597,2584,1,16
2626,1597,2584,1,16
2627,1597,2584,1,16
2628,1597,2584,1,16
2629,1597,2584,1,16
2630,1597,2584,1,16
2631,1597,2584,1,16
2632,1597,2584,1,16
2633,1597,2584,1,16
2634,1597,2584,1,16
2635,1597,2584,1,16
2636,1597,2584,1,16
2637,1597,2584,1,16
2638,1597,2584,1,16
2639,1597,2584,1,16
2640,1597,2584,1,16
2641,1597,2584,1,16
2642,1597,2584,1,16
2643,1597,2584,1,16
2644,1597,2584,1,16
2645,1597,2584,1,16
2646,1597,2584,1,16
2647,1597,2584,1,16
2648,1597,2584,1,16
2649,1597,2584,1,16
2650,1597,2584,1,16
2651,1597,2584,1,16
2652,1597,2584,1,16
2653,1597,2584,1,16
2654,1597,2584,1,16
2655,1597,2584,1,16
2656,1597,2584,1,16
2657,1597,2584,1,16
2658,1597,2584,1,16
2659,1597,2584,1,16
2660,1597,2584,1,16
2661,1597,2584,1,16
2662,1597,2584,1,16
2663,1597,2584,1,16
2664,1597,2584,1,16
2665,1597,2584,1,16
2666,1597,2584,1,16
2667,1597,2584,1,16
2668,1597,2584,1,16
2669,1597,2584,1,16
2670,1597,2584,1,16
2671,1597,2584,1,16
2672,1597,2584,1,16
2673,1597,2584,1,16
2674,1597,2584,1,16
2675,1597,2584,1,16
2676,1597,2584,1,16
2677,1597,2584,1,16
2678,1597,2584,1,16
2679,1597,2584,1,16
2680,1597,2584,1,16
2681,1597,2584,1,16
2682,1597,2584,1,16
2683,1597,2584,1,16
2684,1597,2584,1,16
2685,1597,2584,1,16
2686,1597,2584,1,16
2687,1597,2584,1,16
2688,1597,2584,1,16
2689,1597,2584,1,16
2690,1597,2584,1,16
2691,1597,2584,1,16
2692,1597,2584,1,16
2693,1597,2584,1,16
2694,1597,2584,1,16
2695,1597,2584,1,16
2696,1597,2584,1,16
2697,1597,2584,1,16
2698,1597,2584,1,16
2699,1597,2584,1,16
2700,1597,2584,1,16
2701,1597,2584,1,16
2702,1597,2584,1,16
2703,1597,2584,1,16
2704,1597,2584,1,16
2705,1597,2584,1,16
2706,1597,2584,1,16
2707,1597,2584,1,16
2708,1597,2584,1,16
2709,1597,2584,1,16
2710,1597,2584,1,16
2711,1597,2584,1,16
2712,1597,2584,1,16
2713,1597,2584,1,16
2714,1597,2584,1,16
2715,1597,2584,1,16


