i,A,B,gcd,modulus operations
116,55,89,1,9
117,55,89,1,9
118,55,89,1,9
119,55,89,1,9
120,55,89,1,9
121,55,89,1,9
122,55,89,1,9
123,55,89,1,9
124,55,89,1,9
125,55,89,1,9
126,55,89,1,9
127,55,89,1,9
128,55,89,1,9
129,55,89,1,9
130,55,89,1,9
131,55,89,1,9
132,55,89,1,9
133,55,89,1,9
134,55,89,1,9
135,55,89,1,9
136,55,89,1,9
137,55,89,1,9
138,55,89,1,9
139,55,89,1,9
140,55,89,1,9
141,55,89,1,9
142,55,89,1,9
143,55,89,1,9
144,89,144,1,10
145,89,144,1,10
146,89,144,1,10
147,89,144,1,10
148,89,144,1,10
149,89,144,1,10
150,89,144,1,10
151,89,144,1,10
152,89,144,1,10
153,89,144,1,10
154,89,144,1,10
155,89,144,1,10
156,89,144,1,10
157,89,144,1,10
158,89,144,1,10
159,89,144,1,10
160,89,144,1,10
161,89,144,1,10
162,89,144,1,10
163,89,144,1,10
164,89,144,1,10
165,89,144,1,10
166,89,144,1,10
167,89,144,1,10
168,89,144,1,10
169,89,144,1,10
170,89,144,1,10
171,89,144,1,10
172,89,144,1,10
173,89,144,1,10
174,89,144,1,10
175,89,144,1,10
176,89,144,1,10
177,89,144,1,10
178,89,144,1,10
179,89,144,1,10
180,89,144,1,10
181,89,144,1,10
182,89,144,1,10
183,89,144,1,10
184,89,144,1,10
185,89,144,1,10
186,89,144,1,10
187,89,144,1,10
188,89,144,1,10
189,89,144,1,10
190,89,144,1,10
191,89,144,1,10
192,89,144,1,10
193,89,144,1,10
194,89,144,1,10
195,89,144,1,10
196,89,144,1,10
197,89,144,1,10
198,89,144,1,10
199,89,144,1,10
200,89,144,1,10
201,89,144,1,10
202,89,144,1,10
203,89,144,1,10
204,89,144,1,10
205,89,144,1,10
206,89,144,1,10
207,89,144,1,10
208,89,144,1,10
209,89,144,1,10
210,89,144,1,10
211,89,144,1,10
212,89,144,1,10
213,89,144,1,10
214,89,144,1,10
215,89,144,1,10


