i,A,B,gcd,modulus operations
1416,610,987,1,14
1417,610,987,1,14
1418,610,987,1,14
1419,610,987,1,14
1420,610,987,1,14
1421,610,987,1,14
1422,610,987,1,14
1423,610,987,1,14
1424,610,987,1,14
1425,610,987,1,14
1426,610,987,1,14
1427,610,987,1,14
1428,610,987,1,14
1429,610,987,1,14
1430,610,987,1,14
1431,610,987,1,14
1432,610,987,1,14
1433,610,987,1,14
1434,610,987,1,14
1435,610,987,1,14
1436,610,987,1,14
1437,610,987,1,14
1438,610,987,1,14
1439,610,987,1,14
1440,610,987,1,14
1441,610,987,1,14
1442,610,987,1,14
1443,610,987,1,14
1444,610,987,1,14
1445,610,987,1,14
1446,610,987,1,14
1447,610,987,1,14
1448,610,987,1,14
1449,610,987,1,14
1450,610,987,1,14
1451,610,987,1,14
1452,610,987,1,14
1453,610,987,1,14
1454,610,987,1,14
1455,610,987,1,14
1456,610,987,1,14
1457,610,987,1,14
1458,610,987,1,14
1459,610,987,1,14
1460,610,987,1,14
1461,610,987,1,14
1462,610,987,1,14
1463,610,987,1,14
1464,610,987,1,14
1465,610,987,1,14
1466,610,987,1,14
1467,610,987,1,14
1468,610,987,1,14
1469,610,987,1,14
1470,610,987,1,14
1471,610,987,1,14
1472,610,987,1,14
1473,610,987,1,14
1474,610,987,1,14
1475,610,987,1,14
1476,610,987,1,14
1477,610,987,1,14
1478,610,987,1,14
1479,610,987,1,14
1480,610,987,1,14
1481,610,987,1,14
1482,610,987,1,14
1483,610,987,1,14
1484,610,987,1,14
1485,610,987,1,14
1486,610,987,1,14
1487,610,987,1,14
1488,610,987,1,14
1489,610,987,1,14
1490,610,987,1,14
1491,610,987,1,14
1492,610,987,1,14
1493,610,987,1,14
1494,610,987,1,14
1495,610,987,1,14
1496,610,987,1,14
1497,610,987,1,14
1498,610,987,1,14
1499,610,987,1,14
1500,610,987,1,14
1501,610,987,1,14
1502,610,987,1,14
1503,610,987,1,14
1504,610,987,1,14
1505,610,987,1,14
1506,610,987,1,14
1507,610,987,1,14
1508,610,987,1,14
1509,610,987,1,14
1510,610,987,1,14
1511,610,987,1,14
1512,610,987,1,14
1513,610,987,1,14
1514,610,987,1,14
1515,610,987,1,14


